핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
DDP(동대문디자인플라자),,여유,3500,4000,29.2,70.8,2024-11-13 10:55
DDP(동대문디자인플라자),,여유,4000,4500,28.5,71.5,2024-11-13 11:00
DDP(동대문디자인플라자),,여유,4000,4500,27.5,72.5,2024-11-13 11:10
DDP(동대문디자인플라자),,보통,4000,4500,27.1,72.9,2024-11-13 11:20
DDP(동대문디자인플라자),,보통,4500,5000,25.0,75.0,2024-11-13 11:30
DDP(동대문디자인플라자),,보통,4000,4500,23.2,76.8,2024-11-13 11:40
DDP(동대문디자인플라자),,보통,4500,5000,21.7,78.3,2024-11-13 11:50
DDP(동대문디자인플라자),,보통,4000,4500,21.1,78.9,2024-11-13 12:00
DDP(동대문디자인플라자),,여유,4000,4500,20.9,79.1,2024-11-13 12:10
DDP(동대문디자인플라자),,보통,4000,4500,19.4,80.6,2024-11-13 12:25
DDP(동대문디자인플라자),,보통,4500,5000,20.2,79.8,2024-11-13 12:35
DDP(동대문디자인플라자),,보통,4500,5000,20.8,79.2,2024-11-13 12:45
DDP(동대문디자인플라자),,보통,4500,5000,21.2,78.8,2024-11-13 12:55
DDP(동대문디자인플라자),,보통,4500,5000,23.8,76.2,2024-11-13 13:05
DDP(동대문디자인플라자),,보통,5000,5500,22.5,77.5,2024-11-13 13:15
DDP(동대문디자인플라자),,보통,4500,5000,24.1,75.9,2024-11-13 13:25
DDP(동대문디자인플라자),,보통,4500,5000,25.4,74.6,2024-11-13 13:35
DDP(동대문디자인플라자),,보통,4500,5000,26.0,74.0,2024-11-13 13:45
DDP(동대문디자인플라자),,보통,4500,5000,26.9,73.1,2024-11-13 13:55
DDP(동대문디자인플라자),,보통,5000,5500,19.7,80.3,2024-11-13 17:50
DDP(동대문디자인플라자),,약간 붐빔,5000,5500,19.0,81.0,2024-11-13 18:00
DDP(동대문디자인플라자),,보통,5000,5500,4.7,95.3,2024-11-13 18:10
DDP(동대문디자인플라자),,붐빔,5500,6000,4.5,95.5,2024-11-13 18:20
DDP(동대문디자인플라자),,약간 붐빔,5000,5500,5.3,94.7,2024-11-13 18:30
DDP(동대문디자인플라자),,약간 붐빔,4500,5000,5.7,94.3,2024-11-13 18:40
DDP(동대문디자인플라자),,약간 붐빔,4500,5000,6.3,93.7,2024-11-13 18:50
DDP(동대문디자인플라자),,여유,3500,4000,8.8,91.2,2024-11-13 19:00
DDP(동대문디자인플라자),,여유,3500,4000,11.9,88.1,2024-11-13 19:35
DDP(동대문디자인플라자),,여유,3500,4000,13.3,86.7,2024-11-13 19:40
DDP(동대문디자인플라자),,여유,3000,3500,14.5,85.5,2024-11-13 19:45
DDP(동대문디자인플라자),,여유,3500,4000,13.3,86.7,2024-11-13 19:50
DDP(동대문디자인플라자),,여유,3500,4000,13.3,86.7,2024-11-13 19:50
DDP(동대문디자인플라자),,여유,3500,4000,13.3,86.7,2024-11-13 19:50
DDP(동대문디자인플라자),,여유,3000,3500,15.2,84.8,2024-11-13 19:55
DDP(동대문디자인플라자),,여유,3000,3500,15.2,84.8,2024-11-13 19:55
DDP(동대문디자인플라자),,여유,3000,3500,15.2,84.8,2024-11-13 19:55
DDP(동대문디자인플라자),,여유,3000,3500,17.9,82.1,2024-11-13 20:05
DDP(동대문디자인플라자),,여유,3000,3500,18.3,81.7,2024-11-13 20:15
DDP(동대문디자인플라자),,여유,3000,3500,16.8,83.2,2024-11-13 20:25
DDP(동대문디자인플라자),,여유,3000,3500,18.4,81.6,2024-11-13 20:35
DDP(동대문디자인플라자),,여유,3000,3500,20.6,79.4,2024-11-13 20:45
DDP(동대문디자인플라자),,여유,3000,3500,20.6,79.4,2024-11-13 20:55
DDP(동대문디자인플라자),,여유,3000,3500,18.8,81.2,2024-11-13 21:10
DDP(동대문디자인플라자),,여유,3000,3500,22.0,78.0,2024-11-13 21:20
DDP(동대문디자인플라자),,여유,3000,3500,21.1,78.9,2024-11-13 21:30
DDP(동대문디자인플라자),,여유,3000,3500,23.2,76.8,2024-11-13 21:40
DDP(동대문디자인플라자),,여유,3000,3500,23.1,76.9,2024-11-13 21:50
DDP(동대문디자인플라자),,여유,3000,3500,22.0,78.0,2024-11-13 22:00
DDP(동대문디자인플라자),,여유,3000,3500,22.1,77.9,2024-11-13 22:10
DDP(동대문디자인플라자),,여유,3000,3500,23.8,76.2,2024-11-13 22:20
DDP(동대문디자인플라자),,여유,3000,3500,22.6,77.4,2024-11-13 22:30
DDP(동대문디자인플라자),,여유,2500,3000,25.4,74.6,2024-11-13 22:40
DDP(동대문디자인플라자),,여유,2500,3000,26.1,73.9,2024-11-13 22:50
DDP(동대문디자인플라자),,여유,2500,3000,26.3,73.7,2024-11-13 23:00
DDP(동대문디자인플라자),,여유,2000,2500,30.6,69.4,2024-11-13 23:10
DDP(동대문디자인플라자),,여유,2000,2500,32.1,67.9,2024-11-13 23:20
DDP(동대문디자인플라자),,여유,2000,2500,31.8,68.2,2024-11-13 23:30
DDP(동대문디자인플라자),,여유,2000,2500,35.4,64.6,2024-11-13 23:40
DDP(동대문디자인플라자),,여유,2000,2500,31.2,68.8,2024-11-13 23:50
DDP(동대문디자인플라자),,여유,2000,2500,33.4,66.6,2024-11-14 00:00
DDP(동대문디자인플라자),,여유,2000,2500,34.5,65.5,2024-11-14 00:10
DDP(동대문디자인플라자),,여유,2000,2500,36.1,63.9,2024-11-14 00:20
DDP(동대문디자인플라자),,여유,1500,2000,40.7,59.3,2024-11-14 00:30
DDP(동대문디자인플라자),,여유,1500,2000,41.0,59.0,2024-11-14 00:40
DDP(동대문디자인플라자),,여유,1500,2000,40.8,59.2,2024-11-14 00:50
DDP(동대문디자인플라자),,여유,4000,4500,26.5,73.5,2024-11-14 10:40
DDP(동대문디자인플라자),,여유,3500,4000,30.2,69.8,2024-11-14 10:50
DDP(동대문디자인플라자),,여유,4000,4500,29.5,70.5,2024-11-14 11:00
DDP(동대문디자인플라자),,여유,4000,4500,28.5,71.5,2024-11-14 11:10
DDP(동대문디자인플라자),,보통,4000,4500,26.8,73.2,2024-11-14 11:20
DDP(동대문디자인플라자),,보통,4000,4500,26.8,73.2,2024-11-14 11:30
DDP(동대문디자인플라자),,여유,4000,4500,26.1,73.9,2024-11-14 11:40
DDP(동대문디자인플라자),,여유,4000,4500,23.8,76.2,2024-11-14 11:50
DDP(동대문디자인플라자),,보통,4000,4500,22.7,77.3,2024-11-14 12:00
