핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
강남 MICE 관광특구,,약간 붐빔,22000,24000,32.7,67.3,2024-11-13 10:55
강남 MICE 관광특구,,약간 붐빔,22000,24000,31.5,68.5,2024-11-13 11:00
강남 MICE 관광특구,,약간 붐빔,22000,24000,31.0,69.0,2024-11-13 11:10
강남 MICE 관광특구,,약간 붐빔,24000,26000,30.0,70.0,2024-11-13 11:20
강남 MICE 관광특구,,붐빔,24000,26000,28.1,71.9,2024-11-13 11:30
강남 MICE 관광특구,,붐빔,24000,26000,25.4,74.6,2024-11-13 11:40
강남 MICE 관광특구,,붐빔,24000,26000,22.9,77.1,2024-11-13 11:50
강남 MICE 관광특구,,붐빔,24000,26000,21.2,78.8,2024-11-13 12:00
강남 MICE 관광특구,,붐빔,26000,28000,20.1,79.9,2024-11-13 12:10
강남 MICE 관광특구,,붐빔,26000,28000,19.0,81.0,2024-11-13 12:25
강남 MICE 관광특구,,붐빔,28000,30000,19.1,80.9,2024-11-13 12:35
강남 MICE 관광특구,,붐빔,26000,28000,18.8,81.2,2024-11-13 12:45
강남 MICE 관광특구,,붐빔,28000,30000,20.0,80.0,2024-11-13 12:55
강남 MICE 관광특구,,붐빔,28000,30000,22.0,78.0,2024-11-13 13:05
강남 MICE 관광특구,,붐빔,28000,30000,22.3,77.7,2024-11-13 13:15
강남 MICE 관광특구,,붐빔,28000,30000,23.1,76.9,2024-11-13 13:25
강남 MICE 관광특구,,붐빔,28000,30000,24.3,75.7,2024-11-13 13:35
강남 MICE 관광특구,,붐빔,28000,30000,24.6,75.4,2024-11-13 13:45
강남 MICE 관광특구,,붐빔,28000,30000,25.1,74.9,2024-11-13 13:55
강남 MICE 관광특구,,약간 붐빔,20000,22000,30.5,69.5,2024-11-13 17:50
강남 MICE 관광특구,,약간 붐빔,20000,22000,30.3,69.7,2024-11-13 18:00
강남 MICE 관광특구,,약간 붐빔,18000,20000,0.8,99.2,2024-11-13 18:10
강남 MICE 관광특구,,보통,18000,20000,0.8,99.2,2024-11-13 18:20
강남 MICE 관광특구,,보통,16000,18000,0.9,99.1,2024-11-13 18:30
강남 MICE 관광특구,,보통,16000,18000,1.0,99.0,2024-11-13 18:40
강남 MICE 관광특구,,보통,14000,16000,1.0,99.0,2024-11-13 18:50
강남 MICE 관광특구,,보통,14000,16000,1.1,98.9,2024-11-13 19:00
강남 MICE 관광특구,,보통,12000,14000,1.2,98.8,2024-11-13 19:10
강남 MICE 관광특구,,여유,10000,12000,1.3,98.7,2024-11-13 19:35
강남 MICE 관광특구,,여유,10000,12000,1.5,98.5,2024-11-13 19:40
강남 MICE 관광특구,,여유,10000,12000,1.4,98.6,2024-11-13 19:45
강남 MICE 관광특구,,여유,10000,12000,1.7,98.3,2024-11-13 19:50
강남 MICE 관광특구,,여유,10000,12000,1.7,98.3,2024-11-13 19:50
강남 MICE 관광특구,,여유,10000,12000,1.7,98.3,2024-11-13 19:50
강남 MICE 관광특구,,여유,10000,12000,1.6,98.4,2024-11-13 19:55
강남 MICE 관광특구,,여유,10000,12000,1.6,98.4,2024-11-13 19:55
강남 MICE 관광특구,,여유,10000,12000,1.6,98.4,2024-11-13 19:55
강남 MICE 관광특구,,여유,9500,10000,1.8,98.2,2024-11-13 20:05
강남 MICE 관광특구,,여유,8500,9000,2.1,97.9,2024-11-13 20:15
강남 MICE 관광특구,,여유,7500,8000,2.1,97.9,2024-11-13 20:25
강남 MICE 관광특구,,여유,7500,8000,2.2,97.8,2024-11-13 20:35
강남 MICE 관광특구,,여유,7000,7500,2.6,97.4,2024-11-13 20:45
강남 MICE 관광특구,,여유,6500,7000,2.7,97.3,2024-11-13 20:55
강남 MICE 관광특구,,여유,6000,6500,2.7,97.3,2024-11-13 21:05
강남 MICE 관광특구,,여유,5500,6000,2.9,97.1,2024-11-13 21:20
강남 MICE 관광특구,,여유,5000,5500,3.1,96.9,2024-11-13 21:30
강남 MICE 관광특구,,여유,4500,5000,3.7,96.3,2024-11-13 21:40
강남 MICE 관광특구,,여유,4000,4500,4.6,95.4,2024-11-13 21:50
강남 MICE 관광특구,,여유,3500,4000,4.7,95.3,2024-11-13 22:00
강남 MICE 관광특구,,여유,3500,4000,5.0,95.0,2024-11-13 22:10
강남 MICE 관광특구,,여유,2500,3000,6.5,93.5,2024-11-13 22:20
