핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
강남역,,여유,56000,58000,34.9,65.1,2024-11-13 10:55
강남역,,보통,58000,60000,34.6,65.4,2024-11-13 11:00
강남역,,보통,58000,60000,34.4,65.6,2024-11-13 11:10
강남역,,보통,58000,60000,33.4,66.6,2024-11-13 11:20
강남역,,보통,62000,64000,31.0,69.0,2024-11-13 11:30
강남역,,보통,64000,66000,27.6,72.4,2024-11-13 11:40
강남역,,보통,64000,66000,26.1,73.9,2024-11-13 11:50
강남역,,보통,68000,70000,24.7,75.3,2024-11-13 12:00
강남역,,보통,68000,70000,23.7,76.3,2024-11-13 12:10
강남역,,보통,70000,72000,23.6,76.4,2024-11-13 12:25
강남역,,보통,72000,74000,23.9,76.1,2024-11-13 12:35
강남역,,보통,70000,72000,23.7,76.3,2024-11-13 12:45
강남역,,보통,72000,74000,25.2,74.8,2024-11-13 12:55
강남역,,약간 붐빔,72000,74000,26.7,73.3,2024-11-13 13:05
강남역,,보통,68000,70000,26.8,73.2,2024-11-13 13:15
강남역,,보통,68000,70000,28.0,72.0,2024-11-13 13:25
강남역,,보통,68000,70000,29.2,70.8,2024-11-13 13:35
강남역,,보통,66000,68000,29.6,70.4,2024-11-13 13:45
강남역,,보통,68000,70000,30.2,69.8,2024-11-13 13:55
강남역,,약간 붐빔,66000,68000,27.5,72.5,2024-11-13 17:50
강남역,,약간 붐빔,66000,68000,26.4,73.6,2024-11-13 18:00
강남역,,약간 붐빔,72000,74000,4.3,95.7,2024-11-13 18:10
강남역,,약간 붐빔,70000,72000,4.5,95.5,2024-11-13 18:20
강남역,,약간 붐빔,68000,70000,4.8,95.2,2024-11-13 18:30
강남역,,약간 붐빔,70000,72000,4.7,95.3,2024-11-13 18:40
강남역,,약간 붐빔,68000,70000,5.1,94.9,2024-11-13 18:50
강남역,,약간 붐빔,66000,68000,5.1,94.9,2024-11-13 19:00
강남역,,약간 붐빔,66000,68000,5.2,94.8,2024-11-13 19:10
강남역,,약간 붐빔,58000,60000,6.1,93.9,2024-11-13 19:35
강남역,,보통,58000,60000,6.2,93.8,2024-11-13 19:40
강남역,,여유,56000,58000,6.5,93.5,2024-11-13 19:45
강남역,,여유,56000,58000,6.5,93.5,2024-11-13 19:50
강남역,,여유,56000,58000,6.5,93.5,2024-11-13 19:50
강남역,,여유,56000,58000,6.5,93.5,2024-11-13 19:50
강남역,,여유,56000,58000,6.6,93.4,2024-11-13 19:55
강남역,,여유,56000,58000,6.6,93.4,2024-11-13 19:55
강남역,,여유,56000,58000,6.6,93.4,2024-11-13 19:55
강남역,,여유,56000,58000,6.8,93.2,2024-11-13 20:05
강남역,,여유,54000,56000,7.1,92.9,2024-11-13 20:15
강남역,,여유,50000,52000,7.4,92.6,2024-11-13 20:25
강남역,,여유,50000,52000,7.8,92.2,2024-11-13 20:35
강남역,,여유,48000,50000,7.9,92.1,2024-11-13 20:45
강남역,,여유,48000,50000,8.1,91.9,2024-11-13 20:55
강남역,,여유,46000,48000,8.4,91.6,2024-11-13 21:05
강남역,,여유,44000,46000,9.0,91.0,2024-11-13 21:20
강남역,,여유,42000,44000,9.6,90.4,2024-11-13 21:30
강남역,,여유,42000,44000,10.2,89.8,2024-11-13 21:40
강남역,,여유,40000,42000,10.6,89.4,2024-11-13 21:50
강남역,,여유,38000,40000,10.9,89.1,2024-11-13 22:00
강남역,,여유,36000,38000,12.2,87.8,2024-11-13 22:10
강남역,,여유,32000,34000,13.3,86.7,2024-11-13 22:20
강남역,,여유,30000,32000,14.5,85.5,2024-11-13 22:30
강남역,,여유,28000,30000,16.0,84.0,2024-11-13 22:40
강남역,,여유,26000,28000,16.9,83.1,2024-11-13 22:50
강남역,,여유,24000,26000,18.3,81.7,2024-11-13 23:00
강남역,,여유,24000,26000,19.4,80.6,2024-11-13 23:10
강남역,,여유,20000,22000,21.3,78.7,2024-11-13 23:20
강남역,,여유,18000,20000,23.2,76.8,2024-11-13 23:30
강남역,,여유,18000,20000,24.7,75.3,2024-11-13 23:40
강남역,,여유,16000,18000,26.6,73.4,2024-11-13 23:50
강남역,,여유,16000,18000,28.0,72.0,2024-11-14 00:00
강남역,,여유,16000,18000,28.6,71.4,2024-11-14 00:10
강남역,,여유,14000,16000,31.9,68.1,2024-11-14 00:20
강남역,,여유,14000,16000,33.5,66.5,2024-11-14 00:30
강남역,,여유,14000,16000,34.0,66.0,2024-11-14 00:40
강남역,,여유,12000,14000,36.9,63.1,2024-11-14 00:50
강남역,,여유,52000,54000,35.5,64.5,2024-11-14 10:40
강남역,,여유,52000,54000,35.7,64.3,2024-11-14 10:50
강남역,,여유,54000,56000,35.8,64.2,2024-11-14 11:00
강남역,,여유,56000,58000,35.4,64.6,2024-11-14 11:10
강남역,,여유,56000,58000,34.4,65.6,2024-11-14 11:20
강남역,,보통,58000,60000,32.1,67.9,2024-11-14 11:30
강남역,,보통,60000,62000,29.6,70.4,2024-11-14 11:40
강남역,,보통,62000,64000,27.4,72.6,2024-11-14 11:50
강남역,,보통,64000,66000,26.7,73.3,2024-11-14 12:00
강남역,,보통,66000,68000,24.6,75.4,2024-11-14 12:10
강남역,,보통,66000,68000,24.5,75.5,2024-11-14 12:20
강남역,,보통,66000,68000,25.1,74.9,2024-11-14 12:30
강남역,,보통,68000,70000,24.6,75.4,2024-11-14 12:40
강남역,,보통,66000,68000,25.4,74.6,2024-11-14 12:50
강남역,,약간 붐빔,66000,68000,27.6,72.4,2024-11-14 13:15
강남역,,보통,64000,66000,28.6,71.4,2024-11-14 13:25
강남역,,보통,64000,66000,29.8,70.2,2024-11-14 13:35
강남역,,보통,64000,66000,30.5,69.5,2024-11-14 13:45
강남역,,보통,64000,66000,31.2,68.8,2024-11-14 13:55
강남역,,약간 붐빔,64000,66000,31.9,68.1,2024-11-14 14:05
강남역,,보통,62000,64000,32.1,67.9,2024-11-14 14:15
강남역,,보통,62000,64000,32.6,67.4,2024-11-14 14:25
강남역,,보통,64000,66000,32.2,67.8,2024-11-14 14:35
강남역,,보통,62000,64000,32.3,67.7,2024-11-14 14:45
강남역,,보통,62000,64000,32.4,67.6,2024-11-14 14:55
강남역,,보통,62000,64000,32.1,67.9,2024-11-14 15:10
강남역,,보통,62000,64000,32.2,67.8,2024-11-14 15:20
강남역,,보통,62000,64000,32.5,67.5,2024-11-14 15:30
강남역,,보통,62000,64000,32.2,67.8,2024-11-14 15:40
강남역,,보통,62000,64000,32.4,67.6,2024-11-14 15:50
강남역,,약간 붐빔,62000,64000,32.0,68.0,2024-11-14 16:00
강남역,,보통,62000,64000,31.9,68.1,2024-11-14 16:10
강남역,,보통,62000,64000,32.1,67.9,2024-11-14 16:20
강남역,,보통,60000,62000,33.2,66.8,2024-11-14 16:40
강남역,,보통,62000,64000,32.2,67.8,2024-11-14 17:00
강남역,,약간 붐빔,64000,66000,30.4,69.6,2024-11-14 17:10
강남역,,약간 붐빔,62000,64000,29.8,70.2,2024-11-14 17:25
강남역,,약간 붐빔,66000,68000,28.4,71.6,2024-11-14 17:35
강남역,,약간 붐빔,66000,68000,27.7,72.3,2024-11-14 17:45
강남역,,약간 붐빔,66000,68000,26.7,73.3,2024-11-14 17:55
강남역,,붐빔,78000,80000,14.7,85.3,2024-11-14 18:05
강남역,,붐빔,72000,74000,4.2,95.8,2024-11-14 18:15
강남역,,약간 붐빔,70000,72000,4.5,95.5,2024-11-14 18:25
강남역,,약간 붐빔,70000,72000,4.6,95.4,2024-11-14 18:35
강남역,,약간 붐빔,68000,70000,4.6,95.4,2024-11-14 18:45
강남역,,약간 붐빔,66000,68000,5.0,95.0,2024-11-14 18:55
강남역,,약간 붐빔,66000,68000,5.1,94.9,2024-11-14 19:05
강남역,,약간 붐빔,64000,66000,5.3,94.7,2024-11-14 19:15
강남역,,약간 붐빔,62000,64000,5.7,94.3,2024-11-14 19:25
강남역,,약간 붐빔,60000,62000,6.0,94.0,2024-11-14 19:35
강남역,,보통,56000,58000,6.3,93.7,2024-11-14 19:45
강남역,,여유,56000,58000,6.6,93.4,2024-11-14 19:55
강남역,,여유,56000,58000,6.7,93.3,2024-11-14 20:05
강남역,,여유,54000,56000,7.0,93.0,2024-11-14 20:15
강남역,,여유,50000,52000,7.5,92.5,2024-11-14 20:30
강남역,,여유,50000,52000,7.7,92.3,2024-11-14 20:40
강남역,,여유,48000,50000,8.0,92.0,2024-11-14 20:50
강남역,,여유,48000,50000,8.2,91.8,2024-11-14 21:00
강남역,,여유,46000,48000,8.2,91.8,2024-11-14 21:10
강남역,,여유,46000,48000,8.6,91.4,2024-11-14 21:20
강남역,,여유,44000,46000,9.2,90.8,2024-11-14 21:30
강남역,,여유,42000,44000,9.8,90.2,2024-11-14 21:40
강남역,,여유,40000,42000,10.8,89.2,2024-11-14 21:50
강남역,,여유,40000,42000,10.7,89.3,2024-11-14 22:00
강남역,,여유,38000,40000,11.3,88.7,2024-11-14 22:10
강남역,,여유,34000,36000,12.4,87.6,2024-11-14 22:20
강남역,,여유,32000,34000,13.6,86.4,2024-11-14 22:30
강남역,,여유,30000,32000,14.7,85.3,2024-11-14 22:40
강남역,,여유,28000,30000,15.9,84.1,2024-11-14 22:50
강남역,,여유,26000,28000,17.1,82.9,2024-11-14 23:00
강남역,,여유,24000,26000,18.1,81.9,2024-11-14 23:10
강남역,,여유,22000,24000,19.4,80.6,2024-11-14 23:20
강남역,,여유,20000,22000,20.6,79.4,2024-11-14 23:30
강남역,,여유,20000,22000,22.3,77.7,2024-11-14 23:40
강남역,,여유,18000,20000,23.8,76.2,2024-11-14 23:50
강남역,,여유,18000,20000,25.0,75.0,2024-11-15 00:00
강남역,,여유,16000,18000,28.6,71.4,2024-11-15 00:25
강남역,,여유,14000,16000,30.4,69.6,2024-11-15 00:35
강남역,,여유,14000,16000,31.5,68.5,2024-11-15 00:45
강남역,,여유,14000,16000,33.2,66.8,2024-11-15 00:55
강남역,,여유,12000,14000,34.3,65.7,2024-11-15 01:05
강남역,,여유,12000,14000,35.2,64.8,2024-11-15 01:15
강남역,,여유,12000,14000,37.0,63.0,2024-11-15 01:25
강남역,,여유,12000,14000,37.4,62.6,2024-11-15 01:35
강남역,,여유,12000,14000,37.9,62.1,2024-11-15 01:45
강남역,,여유,12000,14000,39.3,60.7,2024-11-15 01:55
강남역,,여유,12000,14000,40.1,59.9,2024-11-15 02:05
강남역,,여유,10000,12000,41.5,58.5,2024-11-15 02:15
강남역,,여유,10000,12000,41.7,58.3,2024-11-15 02:25
강남역,,여유,10000,12000,42.2,57.8,2024-11-15 02:35
강남역,,여유,10000,12000,43.2,56.8,2024-11-15 02:55
강남역,,여유,10000,12000,44.0,56.0,2024-11-15 03:05
강남역,,여유,10000,12000,45.5,54.5,2024-11-15 03:15
강남역,,여유,10000,12000,45.8,54.2,2024-11-15 03:25
강남역,,여유,10000,12000,46.6,53.4,2024-11-15 03:40
강남역,,여유,10000,12000,46.8,53.2,2024-11-15 03:50
강남역,,여유,10000,12000,46.9,53.1,2024-11-15 04:00
강남역,,여유,10000,12000,48.0,52.0,2024-11-15 04:10
강남역,,여유,9500,10000,48.7,51.3,2024-11-15 04:20
강남역,,여유,10000,12000,48.0,52.0,2024-11-15 04:30
강남역,,여유,9500,10000,48.9,51.1,2024-11-15 04:40
강남역,,여유,10000,12000,48.5,51.5,2024-11-15 04:50
강남역,,여유,9500,10000,48.8,51.2,2024-11-15 05:00
강남역,,여유,9000,9500,48.8,51.2,2024-11-15 05:20
