핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
강서한강공원,,여유,0,100,4.0,96.0,2024-11-13 10:55
강서한강공원,,여유,0,100,3.2,96.8,2024-11-13 11:00
강서한강공원,,여유,100,200,3.1,96.9,2024-11-13 11:10
강서한강공원,,여유,0,100,3.6,96.4,2024-11-13 11:20
강서한강공원,,여유,0,100,4.2,95.8,2024-11-13 11:30
강서한강공원,,여유,0,100,4.0,96.0,2024-11-13 11:40
강서한강공원,,여유,0,100,3.8,96.2,2024-11-13 11:50
강서한강공원,,여유,0,100,3.7,96.3,2024-11-13 12:00
강서한강공원,,여유,0,100,4.5,95.5,2024-11-13 12:10
강서한강공원,,여유,0,100,3.1,96.9,2024-11-13 12:25
강서한강공원,,여유,0,100,3.7,96.3,2024-11-13 12:35
강서한강공원,,여유,0,100,3.7,96.3,2024-11-13 12:45
강서한강공원,,여유,0,100,4.0,96.0,2024-11-13 12:55
강서한강공원,,여유,0,100,4.8,95.2,2024-11-13 13:05
강서한강공원,,여유,0,100,3.3,96.7,2024-11-13 13:15
강서한강공원,,여유,0,100,4.8,95.2,2024-11-13 13:25
강서한강공원,,여유,0,100,3.8,96.2,2024-11-13 13:35
강서한강공원,,여유,0,100,3.3,96.7,2024-11-13 13:45
강서한강공원,,여유,0,100,3.1,96.9,2024-11-13 13:55
강서한강공원,,여유,0,100,4.1,95.9,2024-11-13 17:50
강서한강공원,,여유,100,200,2.8,97.2,2024-11-13 18:00
강서한강공원,,여유,0,100,4.9,95.1,2024-11-13 18:10
강서한강공원,,여유,0,100,4.7,95.3,2024-11-13 18:20
강서한강공원,,여유,0,100,3.3,96.7,2024-11-13 18:30
강서한강공원,,여유,0,100,4.4,95.6,2024-11-13 18:40
강서한강공원,,여유,0,100,5.1,94.9,2024-11-13 18:50
강서한강공원,,여유,0,100,5.3,94.7,2024-11-13 19:00
