핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
낙산공원·이화마을,,여유,100,200,36.6,63.4,2024-11-13 10:55
낙산공원·이화마을,,여유,100,200,35.1,64.9,2024-11-13 11:00
낙산공원·이화마을,,여유,200,300,34.2,65.8,2024-11-13 11:10
낙산공원·이화마을,,여유,100,200,35.8,64.2,2024-11-13 11:20
낙산공원·이화마을,,여유,100,200,38.4,61.6,2024-11-13 11:30
낙산공원·이화마을,,여유,100,200,34.0,66.0,2024-11-13 11:40
낙산공원·이화마을,,여유,200,300,34.4,65.6,2024-11-13 11:50
낙산공원·이화마을,,여유,100,200,32.3,67.7,2024-11-13 12:00
낙산공원·이화마을,,여유,200,300,31.5,68.5,2024-11-13 12:10
낙산공원·이화마을,,여유,200,300,32.4,67.6,2024-11-13 12:25
낙산공원·이화마을,,여유,200,300,33.9,66.1,2024-11-13 12:35
낙산공원·이화마을,,여유,200,300,32.7,67.3,2024-11-13 12:45
낙산공원·이화마을,,여유,200,300,32.8,67.2,2024-11-13 12:55
낙산공원·이화마을,,여유,200,300,34.5,65.5,2024-11-13 13:05
낙산공원·이화마을,,여유,200,300,33.4,66.6,2024-11-13 13:15
낙산공원·이화마을,,여유,200,300,30.9,69.1,2024-11-13 13:25
낙산공원·이화마을,,여유,200,300,32.9,67.1,2024-11-13 13:35
낙산공원·이화마을,,여유,200,300,33.5,66.5,2024-11-13 13:45
낙산공원·이화마을,,여유,200,300,34.9,65.1,2024-11-13 13:55
낙산공원·이화마을,,여유,200,300,37.2,62.8,2024-11-13 17:50
낙산공원·이화마을,,여유,200,300,36.8,63.2,2024-11-13 18:00
낙산공원·이화마을,,여유,200,300,41.7,58.3,2024-11-13 18:10
낙산공원·이화마을,,여유,200,300,41.3,58.7,2024-11-13 18:20
낙산공원·이화마을,,여유,200,300,45.9,54.1,2024-11-13 18:30
낙산공원·이화마을,,여유,200,300,47.5,52.5,2024-11-13 18:40
낙산공원·이화마을,,여유,200,300,45.4,54.6,2024-11-13 18:50
낙산공원·이화마을,,여유,200,300,45.8,54.2,2024-11-13 19:00
낙산공원·이화마을,,여유,200,300,48.9,51.1,2024-11-13 19:35
낙산공원·이화마을,,여유,200,300,50.9,49.1,2024-11-13 19:40
낙산공원·이화마을,,여유,200,300,47.8,52.2,2024-11-13 19:45
낙산공원·이화마을,,여유,200,300,48.8,51.2,2024-11-13 19:50
낙산공원·이화마을,,여유,200,300,48.8,51.2,2024-11-13 19:50
낙산공원·이화마을,,여유,200,300,48.8,51.2,2024-11-13 19:50
낙산공원·이화마을,,여유,200,300,49.9,50.1,2024-11-13 19:55
낙산공원·이화마을,,여유,200,300,49.9,50.1,2024-11-13 19:55
낙산공원·이화마을,,여유,200,300,49.9,50.1,2024-11-13 19:55
낙산공원·이화마을,,여유,200,300,49.6,50.4,2024-11-13 20:05
낙산공원·이화마을,,여유,200,300,49.8,50.2,2024-11-13 20:15
낙산공원·이화마을,,여유,200,300,49.8,50.2,2024-11-13 20:25
낙산공원·이화마을,,여유,200,300,47.2,52.8,2024-11-13 20:35
낙산공원·이화마을,,여유,200,300,53.0,47.0,2024-11-13 20:45
낙산공원·이화마을,,여유,200,300,54.4,45.6,2024-11-13 20:55
낙산공원·이화마을,,여유,200,300,54.3,45.7,2024-11-13 21:10
낙산공원·이화마을,,여유,200,300,59.3,40.7,2024-11-13 21:20
낙산공원·이화마을,,여유,200,300,58.6,41.4,2024-11-13 21:30
낙산공원·이화마을,,여유,200,300,59.4,40.6,2024-11-13 21:40
낙산공원·이화마을,,여유,200,300,57.5,42.5,2024-11-13 21:50
낙산공원·이화마을,,여유,200,300,56.8,43.2,2024-11-13 22:00
낙산공원·이화마을,,여유,200,300,62.1,37.9,2024-11-13 22:10
낙산공원·이화마을,,여유,200,300,59.0,41.0,2024-11-13 22:20
낙산공원·이화마을,,여유,200,300,63.1,36.9,2024-11-13 22:30
낙산공원·이화마을,,여유,200,300,64.6,35.4,2024-11-13 22:40
낙산공원·이화마을,,여유,200,300,61.6,38.4,2024-11-13 22:50
낙산공원·이화마을,,여유,200,300,64.4,35.6,2024-11-13 23:00
낙산공원·이화마을,,여유,200,300,66.1,33.9,2024-11-13 23:10
낙산공원·이화마을,,여유,200,300,64.6,35.4,2024-11-13 23:20
낙산공원·이화마을,,여유,200,300,63.1,36.9,2024-11-13 23:30
낙산공원·이화마을,,여유,200,300,64.9,35.1,2024-11-13 23:40
낙산공원·이화마을,,여유,200,300,65.7,34.3,2024-11-13 23:50
낙산공원·이화마을,,여유,200,300,68.5,31.5,2024-11-14 00:00
낙산공원·이화마을,,여유,200,300,67.2,32.8,2024-11-14 00:10
낙산공원·이화마을,,여유,200,300,70.6,29.4,2024-11-14 00:20
낙산공원·이화마을,,여유,200,300,68.5,31.5,2024-11-14 00:30
낙산공원·이화마을,,여유,200,300,69.4,30.6,2024-11-14 00:40
낙산공원·이화마을,,여유,200,300,69.4,30.6,2024-11-14 00:50
낙산공원·이화마을,,여유,100,200,40.4,59.6,2024-11-14 10:40
낙산공원·이화마을,,여유,100,200,38.9,61.1,2024-11-14 10:50
낙산공원·이화마을,,여유,100,200,38.6,61.4,2024-11-14 11:00
낙산공원·이화마을,,여유,100,200,40.2,59.8,2024-11-14 11:10
낙산공원·이화마을,,여유,100,200,38.3,61.7,2024-11-14 11:20
낙산공원·이화마을,,여유,100,200,38.4,61.6,2024-11-14 11:30
낙산공원·이화마을,,여유,100,200,36.6,63.4,2024-11-14 11:40
낙산공원·이화마을,,여유,200,300,33.8,66.2,2024-11-14 11:50
낙산공원·이화마을,,여유,200,300,36.2,63.8,2024-11-14 12:00
낙산공원·이화마을,,여유,100,200,35.5,64.5,2024-11-14 12:10
낙산공원·이화마을,,여유,200,300,34.4,65.6,2024-11-14 12:20
낙산공원·이화마을,,여유,100,200,34.3,65.7,2024-11-14 12:30
낙산공원·이화마을,,여유,100,200,35.7,64.3,2024-11-14 12:40
낙산공원·이화마을,,여유,100,200,36.8,63.2,2024-11-14 12:50
낙산공원·이화마을,,여유,200,300,34.8,65.2,2024-11-14 13:15
낙산공원·이화마을,,여유,200,300,32.1,67.9,2024-11-14 13:25
낙산공원·이화마을,,여유,200,300,33.7,66.3,2024-11-14 13:35
낙산공원·이화마을,,여유,200,300,34.0,66.0,2024-11-14 13:45
낙산공원·이화마을,,여유,200,300,34.4,65.6,2024-11-14 13:55
낙산공원·이화마을,,여유,200,300,35.2,64.8,2024-11-14 14:05
낙산공원·이화마을,,여유,200,300,36.3,63.7,2024-11-14 14:15
낙산공원·이화마을,,여유,100,200,34.9,65.1,2024-11-14 14:25
낙산공원·이화마을,,여유,100,200,33.6,66.4,2024-11-14 14:35
낙산공원·이화마을,,여유,200,300,36.2,63.8,2024-11-14 14:45
낙산공원·이화마을,,여유,200,300,35.9,64.1,2024-11-14 14:55
낙산공원·이화마을,,여유,200,300,37.0,63.0,2024-11-14 15:10
낙산공원·이화마을,,여유,200,300,37.0,63.0,2024-11-14 15:20
낙산공원·이화마을,,여유,100,200,37.2,62.8,2024-11-14 15:30
낙산공원·이화마을,,여유,100,200,37.7,62.3,2024-11-14 15:40
낙산공원·이화마을,,여유,100,200,37.7,62.3,2024-11-14 15:50
낙산공원·이화마을,,여유,100,200,39.7,60.3,2024-11-14 16:00
낙산공원·이화마을,,여유,200,300,36.5,63.5,2024-11-14 16:10
낙산공원·이화마을,,여유,200,300,34.8,65.2,2024-11-14 16:20
낙산공원·이화마을,,여유,100,200,33.8,66.2,2024-11-14 16:40
낙산공원·이화마을,,여유,200,300,38.0,62.0,2024-11-14 17:00
낙산공원·이화마을,,여유,200,300,39.7,60.3,2024-11-14 17:10
낙산공원·이화마을,,여유,100,200,38.1,61.9,2024-11-14 17:25
낙산공원·이화마을,,여유,200,300,40.2,59.8,2024-11-14 17:45
낙산공원·이화마을,,여유,200,300,37.4,62.6,2024-11-14 17:55
낙산공원·이화마을,,여유,200,300,42.8,57.2,2024-11-14 18:05
낙산공원·이화마을,,여유,100,200,46.5,53.5,2024-11-14 18:15
낙산공원·이화마을,,여유,200,300,47.2,52.8,2024-11-14 18:25
낙산공원·이화마을,,여유,200,300,45.0,55.0,2024-11-14 18:35
낙산공원·이화마을,,여유,200,300,48.8,51.2,2024-11-14 18:45
낙산공원·이화마을,,여유,200,300,50.3,49.7,2024-11-14 18:55
낙산공원·이화마을,,여유,200,300,49.7,50.3,2024-11-14 19:05
낙산공원·이화마을,,여유,200,300,46.3,53.7,2024-11-14 19:15
낙산공원·이화마을,,여유,200,300,45.7,54.3,2024-11-14 19:25
낙산공원·이화마을,,여유,200,300,49.5,50.5,2024-11-14 19:35
낙산공원·이화마을,,여유,200,300,50.6,49.4,2024-11-14 19:45
낙산공원·이화마을,,여유,200,300,50.7,49.3,2024-11-14 19:55
낙산공원·이화마을,,여유,200,300,51.1,48.9,2024-11-14 20:05
낙산공원·이화마을,,여유,200,300,53.5,46.5,2024-11-14 20:15
낙산공원·이화마을,,여유,200,300,54.0,46.0,2024-11-14 20:30
낙산공원·이화마을,,여유,200,300,54.0,46.0,2024-11-14 20:40
낙산공원·이화마을,,여유,200,300,49.8,50.2,2024-11-14 20:50
낙산공원·이화마을,,여유,200,300,51.0,49.0,2024-11-14 21:00
낙산공원·이화마을,,여유,200,300,55.9,44.1,2024-11-14 21:10
낙산공원·이화마을,,여유,200,300,56.8,43.2,2024-11-14 21:20
낙산공원·이화마을,,여유,200,300,60.1,39.9,2024-11-14 21:30
낙산공원·이화마을,,여유,200,300,58.5,41.5,2024-11-14 21:40
낙산공원·이화마을,,여유,200,300,58.5,41.5,2024-11-14 21:50
낙산공원·이화마을,,여유,200,300,60.7,39.3,2024-11-14 22:00
낙산공원·이화마을,,여유,200,300,64.7,35.3,2024-11-14 22:10
