핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
난지한강공원,,여유,1500,2000,7.4,92.6,2024-11-13 10:55
난지한강공원,,여유,1500,2000,7.2,92.8,2024-11-13 11:00
난지한강공원,,여유,1500,2000,7.2,92.8,2024-11-13 11:10
난지한강공원,,여유,1500,2000,6.9,93.1,2024-11-13 11:20
난지한강공원,,여유,1500,2000,7.6,92.4,2024-11-13 11:30
난지한강공원,,여유,1000,1500,8.3,91.7,2024-11-13 11:40
난지한강공원,,여유,1000,1500,8.0,92.0,2024-11-13 11:50
난지한강공원,,여유,1500,2000,7.8,92.2,2024-11-13 12:00
난지한강공원,,여유,1500,2000,7.8,92.2,2024-11-13 12:10
난지한강공원,,여유,1500,2000,8.2,91.8,2024-11-13 12:25
난지한강공원,,여유,1500,2000,8.2,91.8,2024-11-13 12:35
난지한강공원,,여유,1000,1500,8.7,91.3,2024-11-13 12:45
난지한강공원,,여유,1500,2000,7.8,92.2,2024-11-13 12:55
난지한강공원,,여유,1500,2000,7.6,92.4,2024-11-13 13:05
난지한강공원,,여유,1500,2000,7.2,92.8,2024-11-13 13:15
난지한강공원,,여유,1500,2000,6.9,93.1,2024-11-13 13:25
난지한강공원,,여유,1500,2000,7.2,92.8,2024-11-13 13:35
난지한강공원,,여유,1500,2000,7.1,92.9,2024-11-13 13:45
난지한강공원,,여유,1500,2000,7.3,92.7,2024-11-13 13:55
난지한강공원,,여유,1000,1500,5.6,94.4,2024-11-13 17:50
난지한강공원,,여유,1500,2000,5.5,94.5,2024-11-13 18:00
난지한강공원,,여유,1500,2000,5.4,94.6,2024-11-13 18:10
난지한강공원,,여유,1500,2000,5.2,94.8,2024-11-13 18:20
난지한강공원,,여유,1500,2000,5.4,94.6,2024-11-13 18:30
난지한강공원,,여유,1500,2000,5.1,94.9,2024-11-13 18:40
난지한강공원,,여유,1500,2000,5.2,94.8,2024-11-13 18:50
난지한강공원,,여유,1500,2000,5.4,94.6,2024-11-13 19:00
난지한강공원,,여유,1500,2000,5.7,94.3,2024-11-13 19:35
난지한강공원,,여유,1000,1500,6.1,93.9,2024-11-13 19:40
난지한강공원,,여유,1000,1500,6.1,93.9,2024-11-13 19:45
난지한강공원,,여유,1000,1500,6.3,93.7,2024-11-13 19:50
난지한강공원,,여유,1000,1500,6.3,93.7,2024-11-13 19:50
난지한강공원,,여유,1000,1500,6.3,93.7,2024-11-13 19:50
