«÷Ω∫∆Ã ¿Âº“∏Ì,Ω«Ω√∞£ ¿Œ±∏«ˆ»≤,¿Âº“ »•¿‚µµ ¡ˆ«•,Ω«Ω√∞£ ¿Œ±∏ ¡ˆ«• √÷º“∞™,Ω«Ω√∞£ ¿Œ±∏ ¡ˆ«• √÷¥Î∞™,ªÛ¡÷ ¿Œ±∏ ∫Ò¿≤,∫ÒªÛ¡÷ ¿Œ±∏ ∫Ò¿≤,Ω«Ω√∞£ ¿Œ±∏ µ•¿Ã≈Õ æ˜µ•¿Ã∆Æ Ω√∞£
≥ÎµÈº∂,,ø©¿Ø,700,800,30.8,69.2,2024-11-13 10:55
≥ÎµÈº∂,,ø©¿Ø,600,700,27.9,72.1,2024-11-13 11:00
≥ÎµÈº∂,,ø©¿Ø,600,700,27.4,72.6,2024-11-13 11:10
≥ÎµÈº∂,,ø©¿Ø,500,600,28.5,71.5,2024-11-13 11:20
≥ÎµÈº∂,,ø©¿Ø,600,700,26.1,73.9,2024-11-13 11:30
≥ÎµÈº∂,,ø©¿Ø,600,700,26.2,73.8,2024-11-13 11:40
≥ÎµÈº∂,,ø©¿Ø,600,700,25.5,74.5,2024-11-13 11:50
≥ÎµÈº∂,,ø©¿Ø,500,600,28.0,72.0,2024-11-13 12:00
≥ÎµÈº∂,,ø©¿Ø,500,600,27.1,72.9,2024-11-13 12:10
≥ÎµÈº∂,,ø©¿Ø,600,700,24.7,75.3,2024-11-13 12:25
≥ÎµÈº∂,,ø©¿Ø,600,700,22.6,77.4,2024-11-13 12:35
≥ÎµÈº∂,,ø©¿Ø,700,800,20.5,79.5,2024-11-13 12:45
≥ÎµÈº∂,,ø©¿Ø,600,700,22.9,77.1,2024-11-13 12:55
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.2,71.8,2024-11-13 13:05
≥ÎµÈº∂,,ø©¿Ø,800,900,29.0,71.0,2024-11-13 13:15
≥ÎµÈº∂,,ø©¿Ø,900,1000,27.2,72.8,2024-11-13 13:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,27.8,72.2,2024-11-13 13:35
≥ÎµÈº∂,,ø©¿Ø,900,1000,26.6,73.4,2024-11-13 13:45
≥ÎµÈº∂,,ø©¿Ø,900,1000,27.8,72.2,2024-11-13 13:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.3,76.7,2024-11-13 17:50
≥ÎµÈº∂,,ø©¿Ø,1000,1500,25.4,74.6,2024-11-13 18:00
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.5,76.5,2024-11-13 18:10
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.3,76.7,2024-11-13 18:20
≥ÎµÈº∂,,ø©¿Ø,1000,1500,22.4,77.6,2024-11-13 18:30
≥ÎµÈº∂,,ø©¿Ø,1000,1500,24.5,75.5,2024-11-13 18:40
≥ÎµÈº∂,,ø©¿Ø,1000,1500,25.2,74.8,2024-11-13 18:50
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.3,73.7,2024-11-13 19:00
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.3,73.7,2024-11-13 19:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.3,73.7,2024-11-13 19:40
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.4,73.6,2024-11-13 19:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.6,73.4,2024-11-13 19:50
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.6,73.4,2024-11-13 19:50
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.6,73.4,2024-11-13 19:50
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.1,70.9,2024-11-13 19:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.1,70.9,2024-11-13 19:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.1,70.9,2024-11-13 19:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.8,70.2,2024-11-13 20:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,27.8,72.2,2024-11-13 20:15
