핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
노량진,,여유,22000,24000,52.6,47.4,2024-11-13 10:55
노량진,,여유,18000,20000,46.4,53.6,2024-11-13 11:00
노량진,,여유,18000,20000,46.1,53.9,2024-11-13 11:10
노량진,,여유,18000,20000,44.8,55.2,2024-11-13 11:20
노량진,,여유,18000,20000,44.0,56.0,2024-11-13 11:30
노량진,,여유,18000,20000,43.5,56.5,2024-11-13 11:40
노량진,,여유,18000,20000,43.4,56.6,2024-11-13 11:50
노량진,,여유,18000,20000,42.5,57.5,2024-11-13 12:00
노량진,,여유,18000,20000,41.6,58.4,2024-11-13 12:10
노량진,,여유,18000,20000,40.9,59.1,2024-11-13 12:25
노량진,,여유,20000,22000,40.3,59.7,2024-11-13 12:35
노량진,,여유,18000,20000,40.2,59.8,2024-11-13 12:45
노량진,,여유,20000,22000,39.9,60.1,2024-11-13 12:55
노량진,,여유,22000,24000,46.0,54.0,2024-11-13 13:05
노량진,,여유,22000,24000,46.1,53.9,2024-11-13 13:15
노량진,,여유,22000,24000,46.1,53.9,2024-11-13 13:25
노량진,,여유,22000,24000,46.0,54.0,2024-11-13 13:35
노량진,,여유,22000,24000,45.9,54.1,2024-11-13 13:45
노량진,,여유,22000,24000,46.6,53.4,2024-11-13 13:55
노량진,,보통,22000,24000,43.7,56.3,2024-11-13 17:50
노량진,,보통,24000,26000,43.0,57.0,2024-11-13 18:00
노량진,,보통,24000,26000,39.5,60.5,2024-11-13 18:10
노량진,,보통,24000,26000,40.6,59.4,2024-11-13 18:20
노량진,,보통,24000,26000,39.3,60.7,2024-11-13 18:30
노량진,,보통,24000,26000,39.4,60.6,2024-11-13 18:40
노량진,,보통,24000,26000,40.5,59.5,2024-11-13 18:50
노량진,,보통,24000,26000,40.0,60.0,2024-11-13 19:00
노량진,,여유,22000,24000,43.1,56.9,2024-11-13 19:35
노량진,,여유,22000,24000,42.9,57.1,2024-11-13 19:40
노량진,,여유,22000,24000,43.3,56.7,2024-11-13 19:45
노량진,,여유,22000,24000,43.8,56.2,2024-11-13 19:50
노량진,,여유,22000,24000,43.8,56.2,2024-11-13 19:50
노량진,,여유,22000,24000,43.8,56.2,2024-11-13 19:50
노량진,,여유,22000,24000,44.1,55.9,2024-11-13 19:55
노량진,,여유,22000,24000,44.1,55.9,2024-11-13 19:55
노량진,,여유,22000,24000,44.1,55.9,2024-11-13 19:55
노량진,,여유,22000,24000,44.4,55.6,2024-11-13 20:05
노량진,,여유,22000,24000,45.1,54.9,2024-11-13 20:15
노량진,,여유,22000,24000,45.3,54.7,2024-11-13 20:25
노량진,,여유,22000,24000,45.3,54.7,2024-11-13 20:35
노량진,,여유,22000,24000,44.9,55.1,2024-11-13 20:45
노량진,,여유,22000,24000,45.0,55.0,2024-11-13 20:55
노량진,,여유,22000,24000,47.5,52.5,2024-11-13 21:10
노량진,,여유,22000,24000,48.9,51.1,2024-11-13 21:20
노량진,,여유,22000,24000,50.3,49.7,2024-11-13 21:30
노량진,,여유,22000,24000,52.0,48.0,2024-11-13 21:40
노량진,,여유,22000,24000,52.7,47.3,2024-11-13 21:50
노량진,,여유,22000,24000,53.7,46.3,2024-11-13 22:00
노량진,,여유,22000,24000,55.9,44.1,2024-11-13 22:10
노량진,,여유,22000,24000,57.7,42.3,2024-11-13 22:20
노량진,,여유,20000,22000,60.1,39.9,2024-11-13 22:30
노량진,,여유,20000,22000,61.0,39.0,2024-11-13 22:40
노량진,,여유,20000,22000,63.1,36.9,2024-11-13 22:50
노량진,,여유,20000,22000,65.1,34.9,2024-11-13 23:00
노량진,,여유,20000,22000,66.3,33.7,2024-11-13 23:10
노량진,,여유,20000,22000,68.3,31.7,2024-11-13 23:20
노량진,,여유,18000,20000,69.2,30.8,2024-11-13 23:30
노량진,,여유,18000,20000,70.8,29.2,2024-11-13 23:40
노량진,,여유,18000,20000,73.2,26.8,2024-11-13 23:50
노량진,,여유,16000,18000,72.2,27.8,2024-11-14 00:00
노량진,,여유,16000,18000,73.6,26.4,2024-11-14 00:10
노량진,,여유,16000,18000,75.0,25.0,2024-11-14 00:20
노량진,,여유,14000,16000,76.6,23.4,2024-11-14 00:30
노량진,,여유,14000,16000,77.6,22.4,2024-11-14 00:40
노량진,,여유,14000,16000,78.4,21.6,2024-11-14 00:50
노량진,,여유,22000,24000,54.7,45.3,2024-11-14 10:40
노량진,,여유,22000,24000,54.7,45.3,2024-11-14 10:50
노량진,,여유,18000,20000,46.9,53.1,2024-11-14 11:00
노량진,,여유,18000,20000,46.7,53.3,2024-11-14 11:10
노량진,,여유,18000,20000,44.9,55.1,2024-11-14 11:20
노량진,,여유,18000,20000,44.6,55.4,2024-11-14 11:30
노량진,,여유,18000,20000,43.9,56.1,2024-11-14 11:40
노량진,,여유,18000,20000,43.3,56.7,2024-11-14 11:50
노량진,,여유,18000,20000,43.1,56.9,2024-11-14 12:00
노량진,,여유,18000,20000,42.2,57.8,2024-11-14 12:10
노량진,,여유,18000,20000,42.5,57.5,2024-11-14 12:20
노량진,,여유,18000,20000,42.3,57.7,2024-11-14 12:30
노량진,,여유,18000,20000,42.7,57.3,2024-11-14 12:40
노량진,,여유,18000,20000,40.6,59.4,2024-11-14 12:50
노량진,,여유,20000,22000,47.9,52.1,2024-11-14 13:15
노량진,,여유,22000,24000,47.5,52.5,2024-11-14 13:25
노량진,,여유,22000,24000,45.8,54.2,2024-11-14 13:35
노량진,,여유,22000,24000,47.0,53.0,2024-11-14 13:45
노량진,,여유,20000,22000,48.1,51.9,2024-11-14 13:55
노량진,,여유,20000,22000,48.5,51.5,2024-11-14 14:05
노량진,,여유,20000,22000,48.2,51.8,2024-11-14 14:15
노량진,,여유,20000,22000,49.9,50.1,2024-11-14 14:25
노량진,,여유,20000,22000,49.6,50.4,2024-11-14 14:35
노량진,,여유,20000,22000,49.2,50.8,2024-11-14 14:45
노량진,,여유,20000,22000,48.9,51.1,2024-11-14 14:55
노량진,,여유,20000,22000,48.0,52.0,2024-11-14 15:10
노량진,,여유,20000,22000,48.1,51.9,2024-11-14 15:20
노량진,,여유,20000,22000,49.1,50.9,2024-11-14 15:30
노량진,,여유,20000,22000,48.7,51.3,2024-11-14 15:40
노량진,,여유,20000,22000,48.6,51.4,2024-11-14 15:50
노량진,,여유,20000,22000,49.0,51.0,2024-11-14 16:00
노량진,,여유,20000,22000,47.7,52.3,2024-11-14 16:10
