핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
대림역,,여유,14000,16000,69.0,31.0,2024-11-13 10:55
대림역,,여유,14000,16000,68.0,32.0,2024-11-13 11:00
대림역,,여유,14000,16000,67.6,32.4,2024-11-13 11:10
대림역,,여유,14000,16000,67.4,32.6,2024-11-13 11:20
대림역,,여유,14000,16000,67.5,32.5,2024-11-13 11:30
대림역,,여유,14000,16000,67.3,32.7,2024-11-13 11:40
대림역,,여유,14000,16000,66.7,33.3,2024-11-13 11:50
대림역,,여유,14000,16000,66.6,33.4,2024-11-13 12:00
대림역,,여유,14000,16000,65.9,34.1,2024-11-13 12:10
대림역,,여유,14000,16000,66.6,33.4,2024-11-13 12:25
대림역,,여유,14000,16000,66.0,34.0,2024-11-13 12:35
대림역,,여유,14000,16000,65.9,34.1,2024-11-13 12:45
대림역,,여유,14000,16000,65.6,34.4,2024-11-13 12:55
대림역,,여유,14000,16000,66.6,33.4,2024-11-13 13:05
대림역,,여유,14000,16000,66.1,33.9,2024-11-13 13:15
대림역,,여유,14000,16000,66.0,34.0,2024-11-13 13:25
대림역,,여유,14000,16000,65.7,34.3,2024-11-13 13:35
대림역,,여유,14000,16000,65.6,34.4,2024-11-13 13:45
대림역,,여유,14000,16000,65.9,34.1,2024-11-13 13:55
대림역,,여유,14000,16000,65.0,35.0,2024-11-13 17:50
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 18:00
대림역,,여유,14000,16000,65.1,34.9,2024-11-13 18:10
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 18:20
대림역,,여유,14000,16000,65.0,35.0,2024-11-13 18:30
대림역,,여유,14000,16000,65.0,35.0,2024-11-13 18:40
대림역,,여유,14000,16000,65.1,34.9,2024-11-13 18:50
대림역,,여유,14000,16000,65.0,35.0,2024-11-13 19:00
대림역,,여유,14000,16000,64.2,35.8,2024-11-13 19:10
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 19:35
대림역,,여유,14000,16000,65.1,34.9,2024-11-13 19:40
대림역,,여유,14000,16000,64.8,35.2,2024-11-13 19:45
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 19:50
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 19:50
대림역,,여유,14000,16000,65.3,34.7,2024-11-13 19:50
대림역,,여유,14000,16000,65.6,34.4,2024-11-13 19:55
대림역,,여유,14000,16000,65.6,34.4,2024-11-13 19:55
대림역,,여유,14000,16000,65.6,34.4,2024-11-13 19:55
대림역,,여유,14000,16000,65.9,34.1,2024-11-13 20:05
대림역,,여유,14000,16000,65.9,34.1,2024-11-13 20:15
대림역,,여유,16000,18000,65.4,34.6,2024-11-13 20:25
대림역,,여유,16000,18000,65.2,34.8,2024-11-13 20:35
대림역,,여유,16000,18000,63.7,36.3,2024-11-13 20:45
대림역,,보통,16000,18000,63.1,36.9,2024-11-13 20:55
대림역,,보통,16000,18000,65.0,35.0,2024-11-13 21:05
대림역,,보통,16000,18000,68.1,31.9,2024-11-13 21:20
대림역,,보통,16000,18000,70.5,29.5,2024-11-13 21:30
대림역,,보통,16000,18000,71.2,28.8,2024-11-13 21:40
대림역,,보통,16000,18000,72.4,27.6,2024-11-13 21:50
