핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
동대문 관광특구,,보통,24000,26000,24.6,75.4,2024-11-13 10:55
동대문 관광특구,,보통,24000,26000,24.7,75.3,2024-11-13 11:00
동대문 관광특구,,약간 붐빔,24000,26000,24.5,75.5,2024-11-13 11:10
동대문 관광특구,,보통,24000,26000,25.2,74.8,2024-11-13 11:20
동대문 관광특구,,보통,24000,26000,24.7,75.3,2024-11-13 11:30
동대문 관광특구,,약간 붐빔,24000,26000,23.5,76.5,2024-11-13 11:40
동대문 관광특구,,약간 붐빔,24000,26000,22.7,77.3,2024-11-13 11:50
동대문 관광특구,,약간 붐빔,24000,26000,22.2,77.8,2024-11-13 12:00
동대문 관광특구,,약간 붐빔,24000,26000,21.9,78.1,2024-11-13 12:10
동대문 관광특구,,보통,24000,26000,21.9,78.1,2024-11-13 12:25
동대문 관광특구,,약간 붐빔,24000,26000,22.3,77.7,2024-11-13 12:35
동대문 관광특구,,약간 붐빔,24000,26000,22.6,77.4,2024-11-13 12:45
동대문 관광특구,,약간 붐빔,24000,26000,23.1,76.9,2024-11-13 12:55
동대문 관광특구,,약간 붐빔,26000,28000,23.8,76.2,2024-11-13 13:05
동대문 관광특구,,약간 붐빔,24000,26000,24.0,76.0,2024-11-13 13:15
동대문 관광특구,,약간 붐빔,24000,26000,24.6,75.4,2024-11-13 13:25
동대문 관광특구,,약간 붐빔,24000,26000,25.3,74.7,2024-11-13 13:35
동대문 관광특구,,약간 붐빔,24000,26000,25.5,74.5,2024-11-13 13:45
동대문 관광특구,,보통,24000,26000,26.0,74.0,2024-11-13 13:55
동대문 관광특구,,보통,22000,24000,23.2,76.8,2024-11-13 17:50
동대문 관광특구,,보통,22000,24000,23.0,77.0,2024-11-13 18:00
동대문 관광특구,,보통,22000,24000,9.0,91.0,2024-11-13 18:10
동대문 관광특구,,약간 붐빔,22000,24000,9.4,90.6,2024-11-13 18:20
동대문 관광특구,,보통,22000,24000,9.8,90.2,2024-11-13 18:30
동대문 관광특구,,보통,22000,24000,9.9,90.1,2024-11-13 18:40
동대문 관광특구,,보통,20000,22000,11.1,88.9,2024-11-13 18:50
동대문 관광특구,,여유,20000,22000,12.2,87.8,2024-11-13 19:00
동대문 관광특구,,여유,20000,22000,12.6,87.4,2024-11-13 19:10
동대문 관광특구,,여유,18000,20000,15.0,85.0,2024-11-13 19:35
동대문 관광특구,,여유,18000,20000,15.7,84.3,2024-11-13 19:40
동대문 관광특구,,여유,18000,20000,16.0,84.0,2024-11-13 19:45
동대문 관광특구,,여유,20000,22000,16.6,83.4,2024-11-13 19:50
동대문 관광특구,,여유,20000,22000,16.6,83.4,2024-11-13 19:50
동대문 관광특구,,여유,20000,22000,16.6,83.4,2024-11-13 19:50
동대문 관광특구,,보통,20000,22000,17.5,82.5,2024-11-13 19:55
동대문 관광특구,,보통,20000,22000,17.5,82.5,2024-11-13 19:55
동대문 관광특구,,보통,20000,22000,17.5,82.5,2024-11-13 19:55
동대문 관광특구,,보통,20000,22000,20.3,79.7,2024-11-13 20:05
동대문 관광특구,,약간 붐빔,20000,22000,20.6,79.4,2024-11-13 20:15
동대문 관광특구,,약간 붐빔,20000,22000,20.8,79.2,2024-11-13 20:25
동대문 관광특구,,보통,20000,22000,21.7,78.3,2024-11-13 20:35
동대문 관광특구,,보통,20000,22000,23.1,76.9,2024-11-13 20:45
