핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
반포한강공원,,여유,1500,2000,5.6,94.4,2024-11-13 10:55
반포한강공원,,여유,1500,2000,5.1,94.9,2024-11-13 11:00
반포한강공원,,여유,1500,2000,5.1,94.9,2024-11-13 11:10
반포한강공원,,여유,2000,2500,4.1,95.9,2024-11-13 11:20
반포한강공원,,여유,2000,2500,4.3,95.7,2024-11-13 11:30
반포한강공원,,여유,2000,2500,5.0,95.0,2024-11-13 11:40
반포한강공원,,여유,2000,2500,4.6,95.4,2024-11-13 11:50
반포한강공원,,여유,1500,2000,4.9,95.1,2024-11-13 12:00
반포한강공원,,여유,2000,2500,4.3,95.7,2024-11-13 12:15
반포한강공원,,여유,2000,2500,4.7,95.3,2024-11-13 12:25
반포한강공원,,여유,1500,2000,4.6,95.4,2024-11-13 12:35
반포한강공원,,여유,2000,2500,4.5,95.5,2024-11-13 12:45
반포한강공원,,여유,2000,2500,4.9,95.1,2024-11-13 12:55
반포한강공원,,여유,2000,2500,4.9,95.1,2024-11-13 13:05
반포한강공원,,여유,1500,2000,4.8,95.2,2024-11-13 13:15
반포한강공원,,여유,2000,2500,4.0,96.0,2024-11-13 13:25
반포한강공원,,여유,2000,2500,3.9,96.1,2024-11-13 13:35
반포한강공원,,여유,2000,2500,4.1,95.9,2024-11-13 13:45
반포한강공원,,여유,2500,3000,3.0,97.0,2024-11-13 17:50
반포한강공원,,여유,2500,3000,3.3,96.7,2024-11-13 18:00
반포한강공원,,여유,2500,3000,4.4,95.6,2024-11-13 18:10
반포한강공원,,여유,2500,3000,4.5,95.5,2024-11-13 18:20
반포한강공원,,여유,3000,3500,3.8,96.2,2024-11-13 18:30
반포한강공원,,여유,2000,2500,4.4,95.6,2024-11-13 18:40
반포한강공원,,여유,2500,3000,5.0,95.0,2024-11-13 18:50
반포한강공원,,여유,2500,3000,4.7,95.3,2024-11-13 19:00
반포한강공원,,여유,2000,2500,6.9,93.1,2024-11-13 19:35
반포한강공원,,여유,2000,2500,6.6,93.4,2024-11-13 19:40
반포한강공원,,여유,2000,2500,6.2,93.8,2024-11-13 19:45
반포한강공원,,여유,2000,2500,5.8,94.2,2024-11-13 19:50
반포한강공원,,여유,2000,2500,5.8,94.2,2024-11-13 19:50
반포한강공원,,여유,2000,2500,5.8,94.2,2024-11-13 19:50
반포한강공원,,여유,2000,2500,6.1,93.9,2024-11-13 19:55
반포한강공원,,여유,2000,2500,6.1,93.9,2024-11-13 19:55
반포한강공원,,여유,2000,2500,6.1,93.9,2024-11-13 19:55
반포한강공원,,여유,2000,2500,7.1,92.9,2024-11-13 20:05
반포한강공원,,여유,1500,2000,7.7,92.3,2024-11-13 20:15
반포한강공원,,여유,1500,2000,7.6,92.4,2024-11-13 20:25
반포한강공원,,여유,2000,2500,8.2,91.8,2024-11-13 20:35
반포한강공원,,여유,2000,2500,7.9,92.1,2024-11-13 20:45
반포한강공원,,여유,2000,2500,6.9,93.1,2024-11-13 20:55
반포한강공원,,여유,2000,2500,8.4,91.6,2024-11-13 21:10
반포한강공원,,여유,2000,2500,8.4,91.6,2024-11-13 21:20
반포한강공원,,여유,2000,2500,8.4,91.6,2024-11-13 21:30
반포한강공원,,여유,2000,2500,9.7,90.3,2024-11-13 21:40
반포한강공원,,여유,2000,2500,8.8,91.2,2024-11-13 21:50
반포한강공원,,여유,2000,2500,9.5,90.5,2024-11-13 22:00
반포한강공원,,여유,2000,2500,10.3,89.7,2024-11-13 22:10
반포한강공원,,여유,1500,2000,11.2,88.8,2024-11-13 22:20
반포한강공원,,여유,1500,2000,12.0,88.0,2024-11-13 22:30
반포한강공원,,여유,1500,2000,13.1,86.9,2024-11-13 22:40
반포한강공원,,여유,1000,1500,15.4,84.6,2024-11-13 22:50
반포한강공원,,여유,1000,1500,16.2,83.8,2024-11-13 23:00
반포한강공원,,여유,1000,1500,15.8,84.2,2024-11-13 23:10
반포한강공원,,여유,1500,2000,15.6,84.4,2024-11-13 23:20
반포한강공원,,여유,1000,1500,16.8,83.2,2024-11-13 23:30
반포한강공원,,여유,1000,1500,17.9,82.1,2024-11-13 23:40
반포한강공원,,여유,1000,1500,18.8,81.2,2024-11-13 23:50
반포한강공원,,여유,1000,1500,21.8,78.2,2024-11-14 00:00
반포한강공원,,여유,1000,1500,23.7,76.3,2024-11-14 00:10
반포한강공원,,여유,1000,1500,22.0,78.0,2024-11-14 00:20
반포한강공원,,여유,1000,1500,24.4,75.6,2024-11-14 00:30
반포한강공원,,여유,1000,1500,23.5,76.5,2024-11-14 00:40
반포한강공원,,여유,900,1000,25.7,74.3,2024-11-14 00:50
반포한강공원,,여유,1500,2000,5.4,94.6,2024-11-14 10:40
반포한강공원,,여유,1500,2000,5.2,94.8,2024-11-14 10:50
반포한강공원,,여유,2000,2500,4.9,95.1,2024-11-14 11:00
반포한강공원,,여유,1500,2000,5.3,94.7,2024-11-14 11:10
반포한강공원,,여유,2000,2500,5.2,94.8,2024-11-14 11:20
반포한강공원,,여유,1500,2000,5.0,95.0,2024-11-14 11:30
반포한강공원,,여유,1500,2000,5.0,95.0,2024-11-14 11:40
반포한강공원,,여유,1500,2000,5.1,94.9,2024-11-14 11:50
반포한강공원,,여유,1500,2000,5.1,94.9,2024-11-14 12:00
반포한강공원,,여유,1500,2000,5.3,94.7,2024-11-14 12:10
반포한강공원,,여유,1500,2000,5.4,94.6,2024-11-14 12:20
반포한강공원,,여유,1500,2000,6.1,93.9,2024-11-14 12:30
반포한강공원,,여유,1500,2000,4.8,95.2,2024-11-14 12:40
반포한강공원,,여유,1500,2000,5.5,94.5,2024-11-14 12:50
반포한강공원,,여유,1500,2000,4.5,95.5,2024-11-14 13:15
반포한강공원,,여유,1500,2000,5.9,94.1,2024-11-14 13:25
반포한강공원,,여유,1500,2000,5.2,94.8,2024-11-14 13:35
