핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
서울대공원,,여유,3500,4000,10.0,90.0,2024-11-13 10:55
서울대공원,,여유,5000,5500,9.7,90.3,2024-11-13 11:00
서울대공원,,여유,5500,6000,9.5,90.5,2024-11-13 11:10
서울대공원,,여유,5500,6000,9.0,91.0,2024-11-13 11:20
서울대공원,,여유,5500,6000,8.8,91.2,2024-11-13 11:30
서울대공원,,여유,6000,6500,8.2,91.8,2024-11-13 11:40
서울대공원,,여유,6000,6500,7.9,92.1,2024-11-13 11:50
서울대공원,,여유,6500,7000,7.7,92.3,2024-11-13 12:00
서울대공원,,여유,6500,7000,7.5,92.5,2024-11-13 12:15
서울대공원,,여유,6500,7000,7.2,92.8,2024-11-13 12:25
서울대공원,,여유,6500,7000,7.3,92.7,2024-11-13 12:35
서울대공원,,여유,7000,7500,7.3,92.7,2024-11-13 12:45
서울대공원,,여유,7000,7500,7.4,92.6,2024-11-13 12:55
서울대공원,,여유,7500,8000,7.4,92.6,2024-11-13 13:05
서울대공원,,여유,7500,8000,7.2,92.8,2024-11-13 13:15
서울대공원,,여유,8000,8500,7.1,92.9,2024-11-13 13:25
서울대공원,,여유,8000,8500,7.0,93.0,2024-11-13 13:35
서울대공원,,여유,8000,8500,6.8,93.2,2024-11-13 13:45
서울대공원,,여유,2500,3000,13.9,86.1,2024-11-13 17:50
서울대공원,,여유,2500,3000,14.4,85.6,2024-11-13 18:00
서울대공원,,여유,2500,3000,13.3,86.7,2024-11-13 18:10
서울대공원,,여유,2500,3000,13.7,86.3,2024-11-13 18:20
서울대공원,,여유,3000,3500,13.7,86.3,2024-11-13 18:30
서울대공원,,여유,2500,3000,13.9,86.1,2024-11-13 18:40
서울대공원,,여유,3000,3500,14.0,86.0,2024-11-13 18:50
서울대공원,,여유,2500,3000,14.0,86.0,2024-11-13 19:00
서울대공원,,여유,2500,3000,14.3,85.7,2024-11-13 19:35
서울대공원,,여유,2500,3000,14.7,85.3,2024-11-13 19:40
서울대공원,,여유,2500,3000,14.6,85.4,2024-11-13 19:45
서울대공원,,여유,2500,3000,14.8,85.2,2024-11-13 19:50
서울대공원,,여유,2500,3000,14.8,85.2,2024-11-13 19:50
서울대공원,,여유,2500,3000,14.8,85.2,2024-11-13 19:50
서울대공원,,여유,2000,2500,15.2,84.8,2024-11-13 19:55
서울대공원,,여유,2000,2500,15.2,84.8,2024-11-13 19:55
서울대공원,,여유,2000,2500,15.2,84.8,2024-11-13 19:55
서울대공원,,여유,2000,2500,16.8,83.2,2024-11-13 20:05
