핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
서울식물원·마곡나루역,,보통,8500,9000,55.6,44.4,2024-11-13 10:55
서울식물원·마곡나루역,,보통,8500,9000,53.7,46.3,2024-11-13 11:00
서울식물원·마곡나루역,,보통,8500,9000,53.6,46.4,2024-11-13 11:10
서울식물원·마곡나루역,,보통,8500,9000,52.7,47.3,2024-11-13 11:20
서울식물원·마곡나루역,,보통,8500,9000,50.9,49.1,2024-11-13 11:30
서울식물원·마곡나루역,,약간 붐빔,9000,9500,49.2,50.8,2024-11-13 11:40
서울식물원·마곡나루역,,보통,8500,9000,48.2,51.8,2024-11-13 11:50
서울식물원·마곡나루역,,보통,9000,9500,47.0,53.0,2024-11-13 12:00
서울식물원·마곡나루역,,약간 붐빔,9000,9500,44.7,55.3,2024-11-13 12:10
서울식물원·마곡나루역,,약간 붐빔,9000,9500,44.9,55.1,2024-11-13 12:25
서울식물원·마곡나루역,,보통,9000,9500,45.4,54.6,2024-11-13 12:35
서울식물원·마곡나루역,,보통,8500,9000,46.6,53.4,2024-11-13 12:45
서울식물원·마곡나루역,,약간 붐빔,9000,9500,46.8,53.2,2024-11-13 12:55
서울식물원·마곡나루역,,약간 붐빔,9000,9500,50.3,49.7,2024-11-13 13:05
서울식물원·마곡나루역,,약간 붐빔,9000,9500,50.9,49.1,2024-11-13 13:15
서울식물원·마곡나루역,,약간 붐빔,9000,9500,51.5,48.5,2024-11-13 13:25
서울식물원·마곡나루역,,약간 붐빔,9000,9500,51.3,48.7,2024-11-13 13:35
서울식물원·마곡나루역,,약간 붐빔,9000,9500,52.0,48.0,2024-11-13 13:45
서울식물원·마곡나루역,,약간 붐빔,9000,9500,52.0,48.0,2024-11-13 13:55
서울식물원·마곡나루역,,약간 붐빔,9000,9500,48.1,51.9,2024-11-13 17:50
서울식물원·마곡나루역,,약간 붐빔,9000,9500,48.8,51.2,2024-11-13 18:00
서울식물원·마곡나루역,,약간 붐빔,9000,9500,41.5,58.5,2024-11-13 18:10
서울식물원·마곡나루역,,약간 붐빔,9000,9500,43.6,56.4,2024-11-13 18:20
서울식물원·마곡나루역,,보통,8500,9000,44.7,55.3,2024-11-13 18:30
서울식물원·마곡나루역,,약간 붐빔,9500,10000,41.9,58.1,2024-11-13 18:40
서울식물원·마곡나루역,,보통,8500,9000,46.0,54.0,2024-11-13 18:50
서울식물원·마곡나루역,,보통,8000,8500,43.7,56.3,2024-11-13 19:00
서울식물원·마곡나루역,,보통,8000,8500,45.3,54.7,2024-11-13 19:10
서울식물원·마곡나루역,,보통,8000,8500,46.5,53.5,2024-11-13 19:35
서울식물원·마곡나루역,,보통,7500,8000,46.9,53.1,2024-11-13 19:40
서울식물원·마곡나루역,,보통,7500,8000,47.6,52.4,2024-11-13 19:45
서울식물원·마곡나루역,,보통,7500,8000,48.2,51.8,2024-11-13 19:50
서울식물원·마곡나루역,,보통,7500,8000,48.2,51.8,2024-11-13 19:50
서울식물원·마곡나루역,,보통,7500,8000,48.2,51.8,2024-11-13 19:50
서울식물원·마곡나루역,,보통,7500,8000,48.3,51.7,2024-11-13 19:55
서울식물원·마곡나루역,,보통,7500,8000,48.3,51.7,2024-11-13 19:55
서울식물원·마곡나루역,,보통,7500,8000,48.3,51.7,2024-11-13 19:55
서울식물원·마곡나루역,,여유,7500,8000,49.0,51.0,2024-11-13 20:05
서울식물원·마곡나루역,,여유,7500,8000,49.1,50.9,2024-11-13 20:15
서울식물원·마곡나루역,,여유,7000,7500,50.0,50.0,2024-11-13 20:25
서울식물원·마곡나루역,,여유,7000,7500,48.9,51.1,2024-11-13 20:35
서울식물원·마곡나루역,,여유,7000,7500,48.4,51.6,2024-11-13 20:45
서울식물원·마곡나루역,,여유,6500,7000,46.5,53.5,2024-11-13 20:55
서울식물원·마곡나루역,,여유,7000,7500,46.9,53.1,2024-11-13 21:05
서울식물원·마곡나루역,,여유,6500,7000,47.6,52.4,2024-11-13 21:20
서울식물원·마곡나루역,,여유,6500,7000,48.5,51.5,2024-11-13 21:30
서울식물원·마곡나루역,,여유,6500,7000,49.9,50.1,2024-11-13 21:40
서울식물원·마곡나루역,,여유,6000,6500,52.5,47.5,2024-11-13 21:50
서울식물원·마곡나루역,,여유,5500,6000,53.7,46.3,2024-11-13 22:00
서울식물원·마곡나루역,,여유,5500,6000,54.7,45.3,2024-11-13 22:10
서울식물원·마곡나루역,,여유,5500,6000,56.0,44.0,2024-11-13 22:20
서울식물원·마곡나루역,,여유,5000,5500,56.6,43.4,2024-11-13 22:30
서울식물원·마곡나루역,,여유,5000,5500,58.1,41.9,2024-11-13 22:40
서울식물원·마곡나루역,,여유,5000,5500,59.1,40.9,2024-11-13 22:50
서울식물원·마곡나루역,,여유,5000,5500,60.2,39.8,2024-11-13 23:00
서울식물원·마곡나루역,,여유,4500,5000,60.9,39.1,2024-11-13 23:10
서울식물원·마곡나루역,,여유,4500,5000,62.2,37.8,2024-11-13 23:20
서울식물원·마곡나루역,,여유,4500,5000,63.7,36.3,2024-11-13 23:30
서울식물원·마곡나루역,,여유,4500,5000,65.8,34.2,2024-11-13 23:40
서울식물원·마곡나루역,,여유,4000,4500,67.3,32.7,2024-11-13 23:50
서울식물원·마곡나루역,,여유,4000,4500,69.4,30.6,2024-11-14 00:00
서울식물원·마곡나루역,,여유,4000,4500,69.8,30.2,2024-11-14 00:10
서울식물원·마곡나루역,,여유,4000,4500,71.4,28.6,2024-11-14 00:20
서울식물원·마곡나루역,,여유,4000,4500,72.6,27.4,2024-11-14 00:30
서울식물원·마곡나루역,,여유,4000,4500,73.5,26.5,2024-11-14 00:40
서울식물원·마곡나루역,,여유,4000,4500,74.1,25.9,2024-11-14 00:50
서울식물원·마곡나루역,,약간 붐빔,9000,9500,58.3,41.7,2024-11-14 10:40
서울식물원·마곡나루역,,약간 붐빔,9000,9500,57.5,42.5,2024-11-14 10:50
서울식물원·마곡나루역,,약간 붐빔,9000,9500,55.6,44.4,2024-11-14 11:00
서울식물원·마곡나루역,,약간 붐빔,9000,9500,55.0,45.0,2024-11-14 11:10
서울식물원·마곡나루역,,약간 붐빔,9000,9500,55.0,45.0,2024-11-14 11:20
서울식물원·마곡나루역,,약간 붐빔,9000,9500,53.3,46.7,2024-11-14 11:30
서울식물원·마곡나루역,,약간 붐빔,9000,9500,51.3,48.7,2024-11-14 11:40
서울식물원·마곡나루역,,약간 붐빔,9000,9500,51.2,48.8,2024-11-14 11:50
서울식물원·마곡나루역,,약간 붐빔,9000,9500,49.7,50.3,2024-11-14 12:00
서울식물원·마곡나루역,,약간 붐빔,9000,9500,47.4,52.6,2024-11-14 12:10
서울식물원·마곡나루역,,약간 붐빔,9000,9500,46.9,53.1,2024-11-14 12:20
