핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
서울역,,붐빔,28000,30000,44.7,55.3,2024-11-13 10:55
서울역,,붐빔,28000,30000,43.8,56.2,2024-11-13 11:00
서울역,,붐빔,28000,30000,42.5,57.5,2024-11-13 11:10
서울역,,붐빔,28000,30000,41.0,59.0,2024-11-13 11:20
서울역,,붐빔,28000,30000,38.5,61.5,2024-11-13 11:30
서울역,,붐빔,28000,30000,35.9,64.1,2024-11-13 11:40
서울역,,붐빔,26000,28000,33.9,66.1,2024-11-13 11:50
서울역,,붐빔,26000,28000,32.8,67.2,2024-11-13 12:00
서울역,,붐빔,26000,28000,30.3,69.7,2024-11-13 12:10
서울역,,붐빔,26000,28000,30.7,69.3,2024-11-13 12:25
서울역,,붐빔,28000,30000,31.0,69.0,2024-11-13 12:35
서울역,,붐빔,28000,30000,31.9,68.1,2024-11-13 12:45
서울역,,붐빔,28000,30000,34.2,65.8,2024-11-13 12:55
서울역,,붐빔,30000,32000,37.2,62.8,2024-11-13 13:05
서울역,,붐빔,28000,30000,38.6,61.4,2024-11-13 13:15
서울역,,붐빔,28000,30000,40.6,59.4,2024-11-13 13:25
서울역,,붐빔,30000,32000,41.2,58.8,2024-11-13 13:35
서울역,,붐빔,30000,32000,41.3,58.7,2024-11-13 13:45
서울역,,붐빔,30000,32000,41.2,58.8,2024-11-13 13:55
서울역,,약간 붐빔,20000,22000,39.7,60.3,2024-11-13 17:50
서울역,,보통,18000,20000,40.2,59.8,2024-11-13 18:00
서울역,,약간 붐빔,20000,22000,2.3,97.7,2024-11-13 18:10
서울역,,여유,18000,20000,2.9,97.1,2024-11-13 18:20
서울역,,여유,16000,18000,3.1,96.9,2024-11-13 18:30
서울역,,여유,14000,16000,3.3,96.7,2024-11-13 18:40
서울역,,여유,12000,14000,3.9,96.1,2024-11-13 18:50
서울역,,여유,10000,12000,4.6,95.4,2024-11-13 19:00
서울역,,여유,10000,12000,4.8,95.2,2024-11-13 19:10
서울역,,여유,9000,9500,6.0,94.0,2024-11-13 19:35
