핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
쌍문동 맛집거리,,여유,3000,3500,26.2,73.8,2024-11-13 10:55
쌍문동 맛집거리,,여유,3000,3500,25.3,74.7,2024-11-13 11:00
쌍문동 맛집거리,,여유,3000,3500,25.9,74.1,2024-11-13 11:10
쌍문동 맛집거리,,여유,3000,3500,27.8,72.2,2024-11-13 11:20
쌍문동 맛집거리,,여유,3000,3500,27.5,72.5,2024-11-13 11:30
쌍문동 맛집거리,,여유,3000,3500,26.3,73.7,2024-11-13 11:40
쌍문동 맛집거리,,여유,3000,3500,26.6,73.4,2024-11-13 11:50
쌍문동 맛집거리,,여유,3500,4000,26.7,73.3,2024-11-13 12:00
쌍문동 맛집거리,,여유,3500,4000,25.8,74.2,2024-11-13 12:10
쌍문동 맛집거리,,여유,3500,4000,25.1,74.9,2024-11-13 12:25
쌍문동 맛집거리,,여유,3500,4000,25.5,74.5,2024-11-13 12:35
쌍문동 맛집거리,,여유,3500,4000,23.0,77.0,2024-11-13 12:45
쌍문동 맛집거리,,여유,3500,4000,24.0,76.0,2024-11-13 12:55
쌍문동 맛집거리,,여유,3000,3500,27.1,72.9,2024-11-13 13:05
쌍문동 맛집거리,,여유,3000,3500,25.4,74.6,2024-11-13 13:15
쌍문동 맛집거리,,여유,3000,3500,26.4,73.6,2024-11-13 13:25
쌍문동 맛집거리,,여유,3000,3500,26.3,73.7,2024-11-13 13:35
쌍문동 맛집거리,,여유,3000,3500,26.7,73.3,2024-11-13 13:45
쌍문동 맛집거리,,여유,3000,3500,26.0,74.0,2024-11-13 13:55
쌍문동 맛집거리,,여유,3500,4000,25.2,74.8,2024-11-13 17:50
쌍문동 맛집거리,,여유,3500,4000,26.3,73.7,2024-11-13 18:00
쌍문동 맛집거리,,여유,3500,4000,21.3,78.7,2024-11-13 18:10
쌍문동 맛집거리,,여유,4000,4500,21.4,78.6,2024-11-13 18:20
쌍문동 맛집거리,,여유,3500,4000,22.0,78.0,2024-11-13 18:30
쌍문동 맛집거리,,여유,4000,4500,21.9,78.1,2024-11-13 18:40
쌍문동 맛집거리,,여유,4000,4500,22.1,77.9,2024-11-13 18:50
쌍문동 맛집거리,,여유,4000,4500,22.7,77.3,2024-11-13 19:00
쌍문동 맛집거리,,여유,4000,4500,25.2,74.8,2024-11-13 19:35
쌍문동 맛집거리,,여유,3500,4000,26.2,73.8,2024-11-13 19:40
쌍문동 맛집거리,,여유,3500,4000,26.4,73.6,2024-11-13 19:45
쌍문동 맛집거리,,여유,3500,4000,26.4,73.6,2024-11-13 19:50
쌍문동 맛집거리,,여유,3500,4000,26.4,73.6,2024-11-13 19:50
쌍문동 맛집거리,,여유,3500,4000,26.4,73.6,2024-11-13 19:50
쌍문동 맛집거리,,여유,3500,4000,27.0,73.0,2024-11-13 19:55
쌍문동 맛집거리,,여유,3500,4000,27.0,73.0,2024-11-13 19:55
쌍문동 맛집거리,,여유,3500,4000,27.0,73.0,2024-11-13 19:55
쌍문동 맛집거리,,여유,3500,4000,28.5,71.5,2024-11-13 20:05
쌍문동 맛집거리,,여유,3500,4000,29.1,70.9,2024-11-13 20:15
쌍문동 맛집거리,,여유,3500,4000,29.2,70.8,2024-11-13 20:25
쌍문동 맛집거리,,여유,3000,3500,30.8,69.2,2024-11-13 20:35
쌍문동 맛집거리,,여유,3000,3500,33.2,66.8,2024-11-13 20:45
쌍문동 맛집거리,,여유,3500,4000,31.6,68.4,2024-11-13 20:55
쌍문동 맛집거리,,여유,3000,3500,36.4,63.6,2024-11-13 21:10
쌍문동 맛집거리,,여유,3000,3500,36.2,63.8,2024-11-13 21:20
쌍문동 맛집거리,,여유,3000,3500,37.1,62.9,2024-11-13 21:30
쌍문동 맛집거리,,여유,3000,3500,38.2,61.8,2024-11-13 21:40
쌍문동 맛집거리,,여유,3000,3500,38.2,61.8,2024-11-13 21:50
쌍문동 맛집거리,,여유,3000,3500,38.7,61.3,2024-11-13 22:00
쌍문동 맛집거리,,여유,2500,3000,42.5,57.5,2024-11-13 22:10
쌍문동 맛집거리,,여유,2500,3000,43.2,56.8,2024-11-13 22:20
쌍문동 맛집거리,,여유,2500,3000,46.4,53.6,2024-11-13 22:30
쌍문동 맛집거리,,여유,2500,3000,45.7,54.3,2024-11-13 22:40
쌍문동 맛집거리,,여유,2500,3000,46.1,53.9,2024-11-13 22:50
쌍문동 맛집거리,,여유,2500,3000,47.2,52.8,2024-11-13 23:00
쌍문동 맛집거리,,여유,2500,3000,48.1,51.9,2024-11-13 23:10
쌍문동 맛집거리,,여유,2500,3000,50.9,49.1,2024-11-13 23:20
쌍문동 맛집거리,,여유,2500,3000,51.6,48.4,2024-11-13 23:30
쌍문동 맛집거리,,여유,2500,3000,52.3,47.7,2024-11-13 23:40
쌍문동 맛집거리,,여유,2500,3000,54.0,46.0,2024-11-13 23:50
쌍문동 맛집거리,,여유,2500,3000,53.8,46.2,2024-11-14 00:00
쌍문동 맛집거리,,여유,2000,2500,58.0,42.0,2024-11-14 00:10
쌍문동 맛집거리,,여유,2000,2500,57.3,42.7,2024-11-14 00:20
쌍문동 맛집거리,,여유,2000,2500,58.5,41.5,2024-11-14 00:30
쌍문동 맛집거리,,여유,2000,2500,59.6,40.4,2024-11-14 00:40
쌍문동 맛집거리,,여유,2000,2500,61.7,38.3,2024-11-14 00:50
쌍문동 맛집거리,,여유,2500,3000,29.4,70.6,2024-11-14 10:40
쌍문동 맛집거리,,여유,2500,3000,29.6,70.4,2024-11-14 10:50
쌍문동 맛집거리,,여유,3000,3500,28.3,71.7,2024-11-14 11:00
쌍문동 맛집거리,,여유,3000,3500,29.1,70.9,2024-11-14 11:10
쌍문동 맛집거리,,여유,3000,3500,29.3,70.7,2024-11-14 11:20
쌍문동 맛집거리,,여유,2500,3000,30.4,69.6,2024-11-14 11:30
쌍문동 맛집거리,,여유,2500,3000,29.3,70.7,2024-11-14 11:40
쌍문동 맛집거리,,여유,2500,3000,29.9,70.1,2024-11-14 11:50
쌍문동 맛집거리,,여유,3000,3500,28.8,71.2,2024-11-14 12:00
쌍문동 맛집거리,,여유,3000,3500,28.8,71.2,2024-11-14 12:10
쌍문동 맛집거리,,여유,2500,3000,30.6,69.4,2024-11-14 12:20
쌍문동 맛집거리,,여유,3000,3500,28.6,71.4,2024-11-14 12:30
쌍문동 맛집거리,,여유,2500,3000,29.1,70.9,2024-11-14 12:40
쌍문동 맛집거리,,여유,3000,3500,26.7,73.3,2024-11-14 12:50
쌍문동 맛집거리,,여유,3000,3500,25.6,74.4,2024-11-14 13:15
쌍문동 맛집거리,,여유,3000,3500,26.2,73.8,2024-11-14 13:25
쌍문동 맛집거리,,여유,3000,3500,25.3,74.7,2024-11-14 13:35
쌍문동 맛집거리,,여유,3000,3500,26.3,73.7,2024-11-14 13:45
쌍문동 맛집거리,,여유,3000,3500,27.4,72.6,2024-11-14 13:55
쌍문동 맛집거리,,여유,3000,3500,29.0,71.0,2024-11-14 14:05
쌍문동 맛집거리,,여유,3000,3500,27.5,72.5,2024-11-14 14:15
쌍문동 맛집거리,,여유,2500,3000,28.3,71.7,2024-11-14 14:25
쌍문동 맛집거리,,여유,3000,3500,27.7,72.3,2024-11-14 14:35
쌍문동 맛집거리,,여유,3000,3500,27.0,73.0,2024-11-14 14:45
쌍문동 맛집거리,,여유,3000,3500,27.2,72.8,2024-11-14 14:55
쌍문동 맛집거리,,여유,3000,3500,25.4,74.6,2024-11-14 15:10
쌍문동 맛집거리,,여유,3000,3500,26.9,73.1,2024-11-14 15:20
쌍문동 맛집거리,,여유,3000,3500,27.0,73.0,2024-11-14 15:30
쌍문동 맛집거리,,여유,3000,3500,26.1,73.9,2024-11-14 15:40
쌍문동 맛집거리,,여유,3000,3500,27.2,72.8,2024-11-14 15:50
쌍문동 맛집거리,,여유,3000,3500,25.8,74.2,2024-11-14 16:00
쌍문동 맛집거리,,여유,3000,3500,25.1,74.9,2024-11-14 16:10
쌍문동 맛집거리,,여유,3000,3500,24.8,75.2,2024-11-14 16:20
쌍문동 맛집거리,,여유,3000,3500,25.6,74.4,2024-11-14 16:40
쌍문동 맛집거리,,여유,3500,4000,25.3,74.7,2024-11-14 17:00
쌍문동 맛집거리,,여유,3500,4000,24.5,75.5,2024-11-14 17:10
