핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
아차산,,여유,5500,6000,22.9,77.1,2024-11-13 10:55
아차산,,여유,6000,6500,23.8,76.2,2024-11-13 11:00
아차산,,여유,6000,6500,22.7,77.3,2024-11-13 11:10
아차산,,여유,5500,6000,22.5,77.5,2024-11-13 11:20
아차산,,여유,5500,6000,23.0,77.0,2024-11-13 11:30
아차산,,여유,5500,6000,23.3,76.7,2024-11-13 11:40
아차산,,여유,5500,6000,22.0,78.0,2024-11-13 11:50
아차산,,여유,5500,6000,21.9,78.1,2024-11-13 12:00
아차산,,여유,5000,5500,23.6,76.4,2024-11-13 12:15
아차산,,여유,5000,5500,24.2,75.8,2024-11-13 12:25
아차산,,여유,5000,5500,24.0,76.0,2024-11-13 12:35
아차산,,여유,4500,5000,24.5,75.5,2024-11-13 12:45
아차산,,여유,5000,5500,24.9,75.1,2024-11-13 12:55
아차산,,여유,5000,5500,24.7,75.3,2024-11-13 13:05
아차산,,여유,5000,5500,25.4,74.6,2024-11-13 13:15
아차산,,여유,4500,5000,25.1,74.9,2024-11-13 13:25
아차산,,여유,4500,5000,25.2,74.8,2024-11-13 13:35
아차산,,여유,4500,5000,24.1,75.9,2024-11-13 13:45
아차산,,여유,4500,5000,30.4,69.6,2024-11-13 17:50
아차산,,여유,4500,5000,29.7,70.3,2024-11-13 18:00
아차산,,여유,4500,5000,37.6,62.4,2024-11-13 18:10
아차산,,여유,4500,5000,39.9,60.1,2024-11-13 18:20
아차산,,여유,4500,5000,40.8,59.2,2024-11-13 18:30
아차산,,여유,5000,5500,40.1,59.9,2024-11-13 18:40
아차산,,여유,5000,5500,41.5,58.5,2024-11-13 18:50
아차산,,여유,5000,5500,40.6,59.4,2024-11-13 19:00
아차산,,여유,5000,5500,43.8,56.2,2024-11-13 19:35
아차산,,여유,5000,5500,44.8,55.2,2024-11-13 19:40
아차산,,여유,5500,6000,44.1,55.9,2024-11-13 19:45
아차산,,여유,5000,5500,45.7,54.3,2024-11-13 19:50
아차산,,여유,5000,5500,45.7,54.3,2024-11-13 19:50
아차산,,여유,5000,5500,45.7,54.3,2024-11-13 19:50
아차산,,여유,5000,5500,45.5,54.5,2024-11-13 19:55
아차산,,여유,5000,5500,45.5,54.5,2024-11-13 19:55
아차산,,여유,5000,5500,45.5,54.5,2024-11-13 19:55
아차산,,여유,5000,5500,47.3,52.7,2024-11-13 20:05
아차산,,여유,5500,6000,45.5,54.5,2024-11-13 20:15
아차산,,여유,5000,5500,47.7,52.3,2024-11-13 20:25
아차산,,여유,5500,6000,47.6,52.4,2024-11-13 20:35
아차산,,여유,5500,6000,48.4,51.6,2024-11-13 20:45
아차산,,여유,5500,6000,47.3,52.7,2024-11-13 20:55
아차산,,여유,5500,6000,50.0,50.0,2024-11-13 21:10
아차산,,여유,5500,6000,51.3,48.7,2024-11-13 21:20
아차산,,여유,5000,5500,53.6,46.4,2024-11-13 21:30
아차산,,여유,5500,6000,55.1,44.9,2024-11-13 21:40
아차산,,여유,5500,6000,54.4,45.6,2024-11-13 21:50
아차산,,여유,5500,6000,56.1,43.9,2024-11-13 22:00
아차산,,여유,5000,5500,57.9,42.1,2024-11-13 22:10
아차산,,여유,5000,5500,59.1,40.9,2024-11-13 22:20
아차산,,여유,5000,5500,60.0,40.0,2024-11-13 22:30
아차산,,여유,5000,5500,62.7,37.3,2024-11-13 22:40
아차산,,여유,5000,5500,61.3,38.7,2024-11-13 22:50
아차산,,여유,5000,5500,62.7,37.3,2024-11-13 23:00
아차산,,여유,5000,5500,63.1,36.9,2024-11-13 23:10
아차산,,여유,5000,5500,65.3,34.7,2024-11-13 23:20
아차산,,여유,5000,5500,65.8,34.2,2024-11-13 23:30
아차산,,여유,5000,5500,66.7,33.3,2024-11-13 23:40
아차산,,여유,5000,5500,67.3,32.7,2024-11-13 23:50
