핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
여의도한강공원,,여유,3000,3500,36.2,63.8,2024-11-13 10:55
여의도한강공원,,여유,3000,3500,36.6,63.4,2024-11-13 11:00
여의도한강공원,,여유,3000,3500,34.9,65.1,2024-11-13 11:10
여의도한강공원,,여유,3000,3500,33.2,66.8,2024-11-13 11:20
여의도한강공원,,여유,3000,3500,28.8,71.2,2024-11-13 11:30
여의도한강공원,,여유,3000,3500,25.5,74.5,2024-11-13 11:40
여의도한강공원,,여유,3000,3500,24.3,75.7,2024-11-13 11:50
여의도한강공원,,여유,3000,3500,22.3,77.7,2024-11-13 12:00
여의도한강공원,,여유,3000,3500,20.4,79.6,2024-11-13 12:15
여의도한강공원,,여유,3000,3500,20.1,79.9,2024-11-13 12:25
여의도한강공원,,여유,3000,3500,20.5,79.5,2024-11-13 12:35
여의도한강공원,,여유,3000,3500,21.6,78.4,2024-11-13 12:45
여의도한강공원,,여유,3000,3500,25.1,74.9,2024-11-13 12:55
여의도한강공원,,여유,3000,3500,29.8,70.2,2024-11-13 13:05
여의도한강공원,,여유,3000,3500,31.8,68.2,2024-11-13 13:15
여의도한강공원,,여유,3000,3500,33.2,66.8,2024-11-13 13:25
여의도한강공원,,여유,3000,3500,34.0,66.0,2024-11-13 13:35
여의도한강공원,,여유,3000,3500,33.3,66.7,2024-11-13 13:45
여의도한강공원,,여유,4500,5000,40.8,59.2,2024-11-13 17:50
여의도한강공원,,여유,4000,4500,41.2,58.8,2024-11-13 18:00
여의도한강공원,,여유,4000,4500,24.8,75.2,2024-11-13 18:10
여의도한강공원,,여유,4000,4500,26.2,73.8,2024-11-13 18:20
여의도한강공원,,여유,3500,4000,28.0,72.0,2024-11-13 18:30
여의도한강공원,,여유,3500,4000,29.3,70.7,2024-11-13 18:40
여의도한강공원,,여유,3500,4000,30.0,70.0,2024-11-13 18:50
여의도한강공원,,여유,3000,3500,31.3,68.7,2024-11-13 19:00
여의도한강공원,,여유,3000,3500,33.3,66.7,2024-11-13 19:35
여의도한강공원,,여유,3000,3500,33.3,66.7,2024-11-13 19:40
여의도한강공원,,여유,3000,3500,33.7,66.3,2024-11-13 19:45
여의도한강공원,,여유,3000,3500,33.2,66.8,2024-11-13 19:50
여의도한강공원,,여유,3000,3500,33.2,66.8,2024-11-13 19:50
여의도한강공원,,여유,3000,3500,33.2,66.8,2024-11-13 19:50
여의도한강공원,,여유,3000,3500,33.4,66.6,2024-11-13 19:55
여의도한강공원,,여유,3000,3500,33.4,66.6,2024-11-13 19:55
여의도한강공원,,여유,3000,3500,33.4,66.6,2024-11-13 19:55
여의도한강공원,,여유,3000,3500,32.8,67.2,2024-11-13 20:05
여의도한강공원,,여유,3000,3500,33.4,66.6,2024-11-13 20:15
여의도한강공원,,여유,3000,3500,34.3,65.7,2024-11-13 20:25
여의도한강공원,,여유,3000,3500,34.1,65.9,2024-11-13 20:35
여의도한강공원,,여유,2500,3000,34.7,65.3,2024-11-13 20:45
여의도한강공원,,여유,2500,3000,33.6,66.4,2024-11-13 20:55
여의도한강공원,,여유,2000,2500,31.5,68.5,2024-11-13 21:10
여의도한강공원,,여유,2000,2500,31.1,68.9,2024-11-13 21:20
여의도한강공원,,여유,2000,2500,32.8,67.2,2024-11-13 21:30
여의도한강공원,,여유,2000,2500,32.2,67.8,2024-11-13 21:40
여의도한강공원,,여유,2000,2500,31.2,68.8,2024-11-13 21:50
여의도한강공원,,여유,1500,2000,33.0,67.0,2024-11-13 22:00
여의도한강공원,,여유,1500,2000,34.4,65.6,2024-11-13 22:10
여의도한강공원,,여유,1500,2000,34.7,65.3,2024-11-13 22:20
여의도한강공원,,여유,1500,2000,35.9,64.1,2024-11-13 22:30
여의도한강공원,,여유,1000,1500,37.1,62.9,2024-11-13 22:40
여의도한강공원,,여유,1000,1500,38.2,61.8,2024-11-13 22:50
여의도한강공원,,여유,1000,1500,37.3,62.7,2024-11-13 23:00
여의도한강공원,,여유,1000,1500,39.6,60.4,2024-11-13 23:10
여의도한강공원,,여유,1000,1500,40.7,59.3,2024-11-13 23:20
여의도한강공원,,여유,1000,1500,43.9,56.1,2024-11-13 23:30
여의도한강공원,,여유,1000,1500,45.1,54.9,2024-11-13 23:40
