핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
외대앞,,여유,3000,3500,20.0,80.0,2024-11-13 10:55
외대앞,,여유,2500,3000,23.4,76.6,2024-11-13 11:00
외대앞,,여유,2500,3000,21.9,78.1,2024-11-13 11:10
외대앞,,여유,2500,3000,23.0,77.0,2024-11-13 11:20
외대앞,,여유,2500,3000,22.9,77.1,2024-11-13 11:30
외대앞,,여유,3000,3500,19.8,80.2,2024-11-13 11:40
외대앞,,보통,3000,3500,17.8,82.2,2024-11-13 11:50
외대앞,,여유,2500,3000,19.9,80.1,2024-11-13 12:00
외대앞,,여유,2500,3000,19.6,80.4,2024-11-13 12:10
외대앞,,여유,2500,3000,21.1,78.9,2024-11-13 12:25
외대앞,,여유,3000,3500,18.7,81.3,2024-11-13 12:35
외대앞,,여유,3000,3500,19.6,80.4,2024-11-13 12:45
외대앞,,여유,3000,3500,19.1,80.9,2024-11-13 12:55
외대앞,,여유,2500,3000,19.8,80.2,2024-11-13 13:05
외대앞,,여유,3000,3500,19.8,80.2,2024-11-13 13:15
외대앞,,여유,2500,3000,21.5,78.5,2024-11-13 13:25
외대앞,,여유,2500,3000,19.9,80.1,2024-11-13 13:35
외대앞,,여유,2500,3000,21.0,79.0,2024-11-13 13:45
외대앞,,여유,2500,3000,21.4,78.6,2024-11-13 13:55
외대앞,,보통,3000,3500,18.8,81.2,2024-11-13 17:50
외대앞,,보통,3000,3500,19.2,80.8,2024-11-13 18:00
외대앞,,보통,3500,4000,19.8,80.2,2024-11-13 18:10
외대앞,,보통,3500,4000,19.9,80.1,2024-11-13 18:20
외대앞,,여유,3000,3500,23.2,76.8,2024-11-13 18:30
외대앞,,보통,3500,4000,20.6,79.4,2024-11-13 18:40
외대앞,,보통,3500,4000,22.0,78.0,2024-11-13 18:50
외대앞,,보통,3500,4000,23.3,76.7,2024-11-13 19:00
외대앞,,보통,3000,3500,26.2,73.8,2024-11-13 19:35
외대앞,,여유,3000,3500,27.8,72.2,2024-11-13 19:40
외대앞,,여유,3000,3500,27.9,72.1,2024-11-13 19:45
외대앞,,여유,2500,3000,30.3,69.7,2024-11-13 19:50
외대앞,,여유,2500,3000,30.3,69.7,2024-11-13 19:50
외대앞,,여유,2500,3000,30.3,69.7,2024-11-13 19:50
외대앞,,여유,3000,3500,29.5,70.5,2024-11-13 19:55
외대앞,,여유,3000,3500,29.5,70.5,2024-11-13 19:55
외대앞,,여유,3000,3500,29.5,70.5,2024-11-13 19:55
외대앞,,여유,2500,3000,31.2,68.8,2024-11-13 20:05
외대앞,,여유,2500,3000,30.1,69.9,2024-11-13 20:15
외대앞,,여유,2500,3000,33.4,66.6,2024-11-13 20:25
외대앞,,여유,2500,3000,32.4,67.6,2024-11-13 20:35
외대앞,,여유,2500,3000,33.9,66.1,2024-11-13 20:45
외대앞,,여유,2500,3000,35.6,64.4,2024-11-13 20:55
외대앞,,여유,2500,3000,35.2,64.8,2024-11-13 21:10
외대앞,,여유,2500,3000,36.6,63.4,2024-11-13 21:20
외대앞,,여유,2500,3000,36.2,63.8,2024-11-13 21:30
외대앞,,여유,2500,3000,39.3,60.7,2024-11-13 21:40
외대앞,,여유,3000,3500,34.8,65.2,2024-11-13 21:50
외대앞,,여유,2500,3000,43.4,56.6,2024-11-13 22:00
외대앞,,여유,2500,3000,43.2,56.8,2024-11-13 22:10
외대앞,,여유,2500,3000,43.5,56.5,2024-11-13 22:20
외대앞,,여유,2500,3000,44.5,55.5,2024-11-13 22:30
외대앞,,여유,2500,3000,47.6,52.4,2024-11-13 22:40
외대앞,,여유,2500,3000,45.9,54.1,2024-11-13 22:50
외대앞,,여유,2500,3000,45.7,54.3,2024-11-13 23:00
외대앞,,여유,2500,3000,48.6,51.4,2024-11-13 23:10
외대앞,,여유,2000,2500,51.1,48.9,2024-11-13 23:20
외대앞,,여유,2000,2500,52.6,47.4,2024-11-13 23:30
외대앞,,여유,2000,2500,49.0,51.0,2024-11-13 23:40
외대앞,,여유,2000,2500,53.1,46.9,2024-11-13 23:50
외대앞,,여유,2000,2500,54.1,45.9,2024-11-14 00:00
외대앞,,여유,2000,2500,58.0,42.0,2024-11-14 00:10
외대앞,,여유,2000,2500,54.7,45.3,2024-11-14 00:20
외대앞,,여유,2000,2500,56.6,43.4,2024-11-14 00:30
외대앞,,여유,2000,2500,59.1,40.9,2024-11-14 00:40
외대앞,,여유,2000,2500,59.4,40.6,2024-11-14 00:50
외대앞,,여유,2500,3000,21.7,78.3,2024-11-14 10:40
외대앞,,여유,2500,3000,21.1,78.9,2024-11-14 10:50
외대앞,,여유,2500,3000,21.3,78.7,2024-11-14 11:00
외대앞,,여유,2500,3000,23.5,76.5,2024-11-14 11:10
외대앞,,여유,2000,2500,22.7,77.3,2024-11-14 11:20
외대앞,,여유,2500,3000,20.7,79.3,2024-11-14 11:30
외대앞,,여유,2500,3000,19.9,80.1,2024-11-14 11:40
외대앞,,여유,2500,3000,19.9,80.1,2024-11-14 11:50
