핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
청계산,,여유,1500,2000,32.7,67.3,2024-11-13 10:55
청계산,,여유,1500,2000,33.4,66.6,2024-11-13 11:00
청계산,,여유,1500,2000,33.0,67.0,2024-11-13 11:10
청계산,,여유,1500,2000,33.3,66.7,2024-11-13 11:20
청계산,,여유,1500,2000,32.8,67.2,2024-11-13 11:30
청계산,,여유,2000,2500,32.1,67.9,2024-11-13 11:40
청계산,,여유,1500,2000,32.8,67.2,2024-11-13 11:50
청계산,,여유,2000,2500,32.5,67.5,2024-11-13 12:00
청계산,,여유,2000,2500,31.1,68.9,2024-11-13 12:15
청계산,,보통,2000,2500,30.0,70.0,2024-11-13 12:25
청계산,,보통,2000,2500,29.4,70.6,2024-11-13 12:35
청계산,,보통,2000,2500,29.0,71.0,2024-11-13 12:45
청계산,,보통,2000,2500,27.8,72.2,2024-11-13 12:55
청계산,,보통,2000,2500,26.8,73.2,2024-11-13 13:05
청계산,,보통,2000,2500,26.6,73.4,2024-11-13 13:15
청계산,,보통,2000,2500,26.6,73.4,2024-11-13 13:25
청계산,,보통,2000,2500,27.3,72.7,2024-11-13 13:35
청계산,,보통,2000,2500,29.1,70.9,2024-11-13 13:45
청계산,,여유,1500,2000,36.1,63.9,2024-11-13 17:50
청계산,,여유,1500,2000,36.9,63.1,2024-11-13 18:00
청계산,,여유,1500,2000,36.9,63.1,2024-11-13 18:10
청계산,,여유,1500,2000,38.4,61.6,2024-11-13 18:20
청계산,,여유,1500,2000,37.9,62.1,2024-11-13 18:30
청계산,,여유,1500,2000,37.8,62.2,2024-11-13 18:40
청계산,,여유,1500,2000,38.0,62.0,2024-11-13 18:50
청계산,,여유,1500,2000,36.9,63.1,2024-11-13 19:00
청계산,,여유,1000,1500,39.2,60.8,2024-11-13 19:35
청계산,,여유,1500,2000,39.0,61.0,2024-11-13 19:40
