핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
충정로역,,붐빔,18000,20000,49.9,50.1,2024-11-13 10:55
충정로역,,붐빔,18000,20000,49.7,50.3,2024-11-13 11:00
충정로역,,붐빔,18000,20000,49.6,50.4,2024-11-13 11:10
충정로역,,붐빔,18000,20000,48.3,51.7,2024-11-13 11:20
충정로역,,붐빔,18000,20000,45.4,54.6,2024-11-13 11:30
충정로역,,붐빔,18000,20000,41.2,58.8,2024-11-13 11:40
충정로역,,붐빔,16000,18000,38.3,61.7,2024-11-13 11:50
충정로역,,붐빔,16000,18000,36.7,63.3,2024-11-13 12:00
충정로역,,붐빔,16000,18000,34.3,65.7,2024-11-13 12:10
충정로역,,붐빔,16000,18000,34.9,65.1,2024-11-13 12:25
충정로역,,붐빔,16000,18000,35.6,64.4,2024-11-13 12:35
충정로역,,붐빔,16000,18000,36.6,63.4,2024-11-13 12:45
충정로역,,붐빔,16000,18000,39.2,60.8,2024-11-13 12:55
충정로역,,붐빔,18000,20000,42.4,57.6,2024-11-13 13:05
충정로역,,붐빔,18000,20000,44.8,55.2,2024-11-13 13:15
충정로역,,붐빔,18000,20000,44.9,55.1,2024-11-13 13:25
충정로역,,붐빔,18000,20000,47.0,53.0,2024-11-13 13:35
충정로역,,붐빔,18000,20000,48.0,52.0,2024-11-13 13:45
충정로역,,붐빔,18000,20000,48.0,52.0,2024-11-13 13:55
충정로역,,붐빔,14000,16000,46.4,53.6,2024-11-13 17:50
충정로역,,약간 붐빔,14000,16000,45.6,54.4,2024-11-13 18:00
충정로역,,붐빔,14000,16000,8.0,92.0,2024-11-13 18:10
충정로역,,약간 붐빔,12000,14000,8.4,91.6,2024-11-13 18:20
충정로역,,약간 붐빔,12000,14000,9.8,90.2,2024-11-13 18:30
충정로역,,보통,10000,12000,11.0,89.0,2024-11-13 18:40
충정로역,,보통,10000,12000,11.8,88.2,2024-11-13 18:50
충정로역,,보통,10000,12000,12.9,87.1,2024-11-13 19:00
충정로역,,여유,8000,8500,16.7,83.3,2024-11-13 19:35
충정로역,,여유,8000,8500,17.3,82.7,2024-11-13 19:40
충정로역,,여유,7500,8000,17.2,82.8,2024-11-13 19:45
충정로역,,여유,7500,8000,18.4,81.6,2024-11-13 19:50
충정로역,,여유,7500,8000,18.4,81.6,2024-11-13 19:50
충정로역,,여유,7500,8000,18.4,81.6,2024-11-13 19:50
충정로역,,여유,7500,8000,19.4,80.6,2024-11-13 19:55
충정로역,,여유,7500,8000,19.4,80.6,2024-11-13 19:55
충정로역,,여유,7500,8000,19.4,80.6,2024-11-13 19:55
충정로역,,여유,7500,8000,19.3,80.7,2024-11-13 20:05
충정로역,,여유,7000,7500,20.4,79.6,2024-11-13 20:15
충정로역,,여유,6500,7000,21.8,78.2,2024-11-13 20:25
충정로역,,여유,6500,7000,22.5,77.5,2024-11-13 20:35
충정로역,,여유,6500,7000,24.5,75.5,2024-11-13 20:45
충정로역,,여유,6000,6500,24.7,75.3,2024-11-13 20:55
충정로역,,여유,6000,6500,26.3,73.7,2024-11-13 21:10
충정로역,,여유,6000,6500,27.2,72.8,2024-11-13 21:20
충정로역,,여유,5500,6000,29.4,70.6,2024-11-13 21:30
충정로역,,여유,5000,5500,32.7,67.3,2024-11-13 21:40
충정로역,,여유,5500,6000,32.5,67.5,2024-11-13 21:50
충정로역,,여유,5000,5500,33.1,66.9,2024-11-13 22:00
충정로역,,여유,5000,5500,34.3,65.7,2024-11-13 22:10
충정로역,,여유,4500,5000,36.4,63.6,2024-11-13 22:20
충정로역,,여유,5000,5500,36.2,63.8,2024-11-13 22:30
충정로역,,여유,4500,5000,39.8,60.2,2024-11-13 22:40
충정로역,,여유,4000,4500,43.8,56.2,2024-11-13 22:50
충정로역,,여유,4000,4500,43.1,56.9,2024-11-13 23:00
충정로역,,여유,4000,4500,46.3,53.7,2024-11-13 23:10
충정로역,,여유,4000,4500,48.0,52.0,2024-11-13 23:20
충정로역,,여유,4000,4500,49.2,50.8,2024-11-13 23:30
충정로역,,여유,3500,4000,50.9,49.1,2024-11-13 23:40
충정로역,,여유,3500,4000,52.6,47.4,2024-11-13 23:50
충정로역,,여유,3500,4000,54.8,45.2,2024-11-14 00:00
충정로역,,여유,3500,4000,54.4,45.6,2024-11-14 00:10
충정로역,,여유,3000,3500,57.3,42.7,2024-11-14 00:20
충정로역,,여유,3000,3500,56.7,43.3,2024-11-14 00:30
충정로역,,여유,3000,3500,58.6,41.4,2024-11-14 00:40
충정로역,,여유,3000,3500,60.7,39.3,2024-11-14 00:50
충정로역,,붐빔,16000,18000,50.1,49.9,2024-11-14 10:40
충정로역,,붐빔,16000,18000,50.1,49.9,2024-11-14 10:50
충정로역,,붐빔,16000,18000,50.4,49.6,2024-11-14 11:00
충정로역,,붐빔,18000,20000,49.2,50.8,2024-11-14 11:10
충정로역,,붐빔,18000,20000,48.5,51.5,2024-11-14 11:20
충정로역,,붐빔,18000,20000,45.8,54.2,2024-11-14 11:30
충정로역,,붐빔,18000,20000,41.8,58.2,2024-11-14 11:40
충정로역,,붐빔,16000,18000,39.4,60.6,2024-11-14 11:50
충정로역,,붐빔,16000,18000,37.7,62.3,2024-11-14 12:00
충정로역,,붐빔,16000,18000,35.2,64.8,2024-11-14 12:10
충정로역,,붐빔,16000,18000,34.8,65.2,2024-11-14 12:20
충정로역,,붐빔,16000,18000,35.6,64.4,2024-11-14 12:30
충정로역,,붐빔,14000,16000,36.7,63.3,2024-11-14 12:40
충정로역,,붐빔,16000,18000,37.9,62.1,2024-11-14 12:50
충정로역,,붐빔,16000,18000,45.4,54.6,2024-11-14 13:15
충정로역,,붐빔,16000,18000,46.6,53.4,2024-11-14 13:25
충정로역,,붐빔,18000,20000,47.4,52.6,2024-11-14 13:35
충정로역,,붐빔,16000,18000,48.2,51.8,2024-11-14 13:45
충정로역,,붐빔,18000,20000,48.6,51.4,2024-11-14 13:55
충정로역,,붐빔,18000,20000,48.8,51.2,2024-11-14 14:05
충정로역,,붐빔,18000,20000,48.8,51.2,2024-11-14 14:15
