핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
혜화역,,여유,7500,8000,29.2,70.8,2024-11-13 10:55
혜화역,,여유,7500,8000,28.4,71.6,2024-11-13 11:00
혜화역,,여유,8000,8500,28.0,72.0,2024-11-13 11:10
혜화역,,여유,8000,8500,26.8,73.2,2024-11-13 11:20
혜화역,,여유,8500,9000,24.4,75.6,2024-11-13 11:30
혜화역,,여유,9500,10000,23.8,76.2,2024-11-13 11:40
혜화역,,여유,9500,10000,23.0,77.0,2024-11-13 11:50
혜화역,,여유,10000,12000,22.1,77.9,2024-11-13 12:00
혜화역,,여유,10000,12000,19.2,80.8,2024-11-13 12:10
혜화역,,여유,10000,12000,18.2,81.8,2024-11-13 12:25
혜화역,,여유,10000,12000,18.9,81.1,2024-11-13 12:35
혜화역,,여유,10000,12000,18.7,81.3,2024-11-13 12:45
혜화역,,여유,10000,12000,19.5,80.5,2024-11-13 12:55
혜화역,,여유,10000,12000,21.1,78.9,2024-11-13 13:05
혜화역,,여유,10000,12000,21.1,78.9,2024-11-13 13:15
혜화역,,여유,10000,12000,21.4,78.6,2024-11-13 13:25
혜화역,,여유,10000,12000,21.8,78.2,2024-11-13 13:35
혜화역,,여유,10000,12000,22.0,78.0,2024-11-13 13:45
혜화역,,여유,10000,12000,22.0,78.0,2024-11-13 13:55
혜화역,,보통,14000,16000,17.2,82.8,2024-11-13 17:50
혜화역,,보통,16000,18000,15.2,84.8,2024-11-13 18:00
혜화역,,약간 붐빔,18000,20000,7.1,92.9,2024-11-13 18:10
혜화역,,보통,16000,18000,7.1,92.9,2024-11-13 18:20
혜화역,,약간 붐빔,18000,20000,7.0,93.0,2024-11-13 18:30
혜화역,,약간 붐빔,18000,20000,7.6,92.4,2024-11-13 18:40
혜화역,,약간 붐빔,18000,20000,7.5,92.5,2024-11-13 18:50
혜화역,,약간 붐빔,18000,20000,7.8,92.2,2024-11-13 19:00
혜화역,,보통,18000,20000,8.1,91.9,2024-11-13 19:35
혜화역,,보통,16000,18000,8.5,91.5,2024-11-13 19:40
혜화역,,보통,16000,18000,8.5,91.5,2024-11-13 19:45
혜화역,,보통,16000,18000,8.7,91.3,2024-11-13 19:50
혜화역,,보통,16000,18000,8.7,91.3,2024-11-13 19:50
혜화역,,보통,16000,18000,8.7,91.3,2024-11-13 19:50
혜화역,,보통,16000,18000,9.0,91.0,2024-11-13 19:55
혜화역,,보통,16000,18000,9.0,91.0,2024-11-13 19:55
혜화역,,보통,16000,18000,9.0,91.0,2024-11-13 19:55
혜화역,,보통,14000,16000,9.9,90.1,2024-11-13 20:05
혜화역,,보통,14000,16000,10.5,89.5,2024-11-13 20:15
혜화역,,여유,14000,16000,11.4,88.6,2024-11-13 20:25
혜화역,,여유,14000,16000,11.9,88.1,2024-11-13 20:35
혜화역,,여유,12000,14000,12.3,87.7,2024-11-13 20:45
혜화역,,여유,12000,14000,12.5,87.5,2024-11-13 20:55
혜화역,,여유,12000,14000,12.5,87.5,2024-11-13 21:10
혜화역,,여유,12000,14000,13.3,86.7,2024-11-13 21:20
혜화역,,여유,12000,14000,14.3,85.7,2024-11-13 21:30
혜화역,,여유,12000,14000,14.6,85.4,2024-11-13 21:40
혜화역,,여유,12000,14000,15.3,84.7,2024-11-13 21:50
혜화역,,여유,10000,12000,15.8,84.2,2024-11-13 22:00
혜화역,,여유,10000,12000,16.2,83.8,2024-11-13 22:10
혜화역,,여유,10000,12000,17.3,82.7,2024-11-13 22:20
혜화역,,여유,9500,10000,19.7,80.3,2024-11-13 22:30
혜화역,,여유,8500,9000,22.7,77.3,2024-11-13 22:40
혜화역,,여유,7500,8000,25.0,75.0,2024-11-13 22:50
혜화역,,여유,7000,7500,27.7,72.3,2024-11-13 23:00
혜화역,,여유,6500,7000,29.7,70.3,2024-11-13 23:10
혜화역,,여유,6000,6500,31.5,68.5,2024-11-13 23:20
혜화역,,여유,6000,6500,34.3,65.7,2024-11-13 23:30
혜화역,,여유,5500,6000,35.8,64.2,2024-11-13 23:40
혜화역,,여유,5000,5500,38.9,61.1,2024-11-13 23:50
혜화역,,여유,5000,5500,40.8,59.2,2024-11-14 00:00
혜화역,,여유,4500,5000,42.8,57.2,2024-11-14 00:10
혜화역,,여유,4500,5000,46.8,53.2,2024-11-14 00:20
혜화역,,여유,4000,4500,48.0,52.0,2024-11-14 00:30
혜화역,,여유,4000,4500,50.1,49.9,2024-11-14 00:40
혜화역,,여유,4000,4500,52.7,47.3,2024-11-14 00:50
