핫스팟 장소명,실시간 인구현황,장소 혼잡도 지표,실시간 인구 지표 최소값,실시간 인구 지표 최대값,상주 인구 비율,비상주 인구 비율,실시간 인구 데이터 업데이트 시간
회기역,,여유,9500,10000,24.8,75.2,2024-11-13 10:55
회기역,,여유,8500,9000,28.5,71.5,2024-11-13 11:00
회기역,,여유,9000,9500,27.9,72.1,2024-11-13 11:10
회기역,,여유,9000,9500,27.6,72.4,2024-11-13 11:20
회기역,,여유,9500,10000,25.0,75.0,2024-11-13 11:30
회기역,,여유,9500,10000,24.7,75.3,2024-11-13 11:40
회기역,,여유,10000,12000,23.9,76.1,2024-11-13 11:50
회기역,,여유,10000,12000,22.2,77.8,2024-11-13 12:00
회기역,,여유,10000,12000,23.7,76.3,2024-11-13 12:10
회기역,,여유,10000,12000,22.3,77.7,2024-11-13 12:25
회기역,,여유,10000,12000,23.1,76.9,2024-11-13 12:35
회기역,,여유,10000,12000,23.4,76.6,2024-11-13 12:45
회기역,,여유,10000,12000,23.4,76.6,2024-11-13 12:55
회기역,,여유,10000,12000,26.0,74.0,2024-11-13 13:05
회기역,,여유,10000,12000,24.2,75.8,2024-11-13 13:15
회기역,,여유,10000,12000,23.4,76.6,2024-11-13 13:25
회기역,,여유,10000,12000,24.6,75.4,2024-11-13 13:35
회기역,,여유,9500,10000,26.1,73.9,2024-11-13 13:45
회기역,,여유,10000,12000,23.7,76.3,2024-11-13 13:55
회기역,,보통,12000,14000,21.0,79.0,2024-11-13 17:50
회기역,,보통,12000,14000,20.5,79.5,2024-11-13 18:00
회기역,,보통,12000,14000,21.1,78.9,2024-11-13 18:10
회기역,,보통,12000,14000,21.9,78.1,2024-11-13 18:20
회기역,,약간 붐빔,14000,16000,20.6,79.4,2024-11-13 18:30
회기역,,약간 붐빔,14000,16000,20.9,79.1,2024-11-13 18:40
회기역,,약간 붐빔,14000,16000,20.1,79.9,2024-11-13 18:50
회기역,,보통,14000,16000,22.7,77.3,2024-11-13 19:00
회기역,,보통,12000,14000,24.2,75.8,2024-11-13 19:35
회기역,,보통,12000,14000,25.1,74.9,2024-11-13 19:40
